NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
138,친구 여동생,판,(주)영진크리에이티브,,(주)영진크리에이티브,20210118,개봉영화,장편,한국,20,66000,20,3000,2,멜로/로맨스,청소년관람불가,일반영화
139,공포분자,에드워드 양,,(주)에이썸엔터테인먼트,(주)에이썸엔터테인먼트,20200917,개봉영화,장편,기타,52,129000,19,0,0,드라마,15세이상관람가,독립/예술영화
140,머리카락,이미해,스튜디오 파동,,"목영이엔엠,(주)다자인소프트",20201210,개봉영화,장편,한국,12,141000,19,54000,6,다큐멘터리,전체관람가,독립/예술영화
141,베이 오브 사일런스,파울라 반 데르 우에스트,,,㈜코리아스크린,20210114,개봉영화,장편,영국,5,23000,19,6000,6,미스터리,15세이상관람가,독립/예술영화
142,블러드하운드,제이슨 R. 밀러,,(주)퍼스트런,(주)퍼스트런,20210107,개봉영화,장편,미국,5,101000,17,0,0,미스터리,15세이상관람가,독립/예술영화
143,도둑까치,,,일미디어,일미디어,20201103,개봉영화,장편,이탈리아,4,240000,16,120000,8,공연,전체관람가,일반영화
144,도망친 여자,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",20200917,개봉영화,장편,한국,143,130000,15,130000,15,드라마,청소년관람불가,독립/예술영화
145,나의 인생여행,,,미디어소프트,(주)라이크콘텐츠,20201210,개봉영화,장편,영국,31,65000,13,0,0,드라마,15세이상관람가,독립/예술영화
146,버든: 세상을 바꾸는 힘,앤드류 헤클러,,(유)조이앤시네마,(주)제이앤씨미디어그룹,20201125,개봉영화,장편,미국,82,13000,13,0,0,드라마,15세이상관람가,독립/예술영화
147,8년을 뛰어넘은 신부,제제 다카히사,,(주)미디어캐슬,(주)미디어캐슬,20210507,개봉영화,장편,일본,1,86470,12,86470,12,가족,전체관람가,독립/예술영화
148,맹크,데이빗 핀처,,,메가박스중앙(주)플러스엠,20201118,개봉영화,장편,미국,100,109000,11,109000,11,드라마,15세이상관람가,독립/예술영화
149,고급창녀,에로핑,(주)케이알씨지,,(주)케이알씨지,20210121,개봉영화,장편,한국,8,10000,10,2000,2,성인물(에로),청소년관람불가,일반영화
150,스페셜 솔져,대니 레너,,,(유)조이앤시네마,20201222,개봉영화,장편,폴란드,5,10000,10,0,0,액션,15세이상관람가,독립/예술영화
151,매춘: 은밀한 제안들,이동현,(주)디에이치미디어,,(주)케이알씨지,20210129,개봉영화,장편,한국,8,8000,8,1000,1,성인물(에로),청소년관람불가,일반영화
152,탱크 투 베를린,,,(유)조이앤시네마,(주)제이앤씨미디어그룹,20201223,개봉영화,장편,러시아,16,8000,8,0,0,액션,15세이상관람가,독립/예술영화
153,증발,김성민,미들,,㈜인디스토리,20201112,개봉영화,장편,한국,35,63000,7,63000,7,다큐멘터리,전체관람가,독립/예술영화
154,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,"유야마 쿠니히코,사카키바라 모토노리",,(주)포켓몬코리아,(주)이수C&E,20200930,개봉영화,장편,일본,591,43000,6,0,0,애니메이션,전체관람가,일반영화
155,마티아스와 막심,자비에 돌란,,(주)엣나인필름,(주)엣나인필름,20200723,개봉영화,장편,캐나다,91,60000,5,60000,5,드라마,15세이상관람가,독립/예술영화
156,바람바람,선우용,(주)룬컴퍼니,,(주)룬컴퍼니,20210120,개봉영화,장편,한국,5,6000,5,2000,1,성인물(에로),청소년관람불가,일반영화
