순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
23059,새도우,,,인창영화(주),,1990-03-31,개봉영화,장편,이탈리아,0,0,0,0,7239,공포(호러),연소자관람불가,일반영화
23060,새도우 랜드,리차드 아텐보로,스텔링 필름 인터내셔널,(주)이우영상,,1995-04-08,개봉영화,장편,영국,0,0,0,0,12713,드라마,중학생이상관람가,일반영화
23061,새도우 프로그램,,,,,1997-01-25,개봉영화,장편,미국,0,0,0,0,155551,액션,고등학생이상관람가,일반영화
23062,새벽에 온 방문객,노진섭,남아진흥(주),,,1975-07-19,개봉영화,장편,한국,0,N/A,0,N/A,9459,멜로/로맨스,,독립/예술영화
23063,새벽외출,최청운,,,,1990-10-27,개봉영화,장편,한국,0,0,0,0,1494,드라마,연소자관람불가,일반영화
23064,새벽을 깨우리로다,이기원,두레프로덕션,,,1990-02-24,개봉영화,장편,한국,0,0,0,0,35962,멜로/로맨스,연소자관람불가,일반영화
23065,새벽의 7인,루이스 길버트,,국제,,1976-09-03,개봉영화,장편,미국,0,0,0,0,313267,드라마,미성년자관람불가,일반영화
23066,새알각하,한영렬,(주)서울필름,,,1994-06-25,개봉영화,장편,한국,0,0,0,0,928,드라마,연소자관람불가,일반영화
23067,새앙쥐 상륙작전,김정진,(주)다모아필름,,,1989-07-29,개봉영화,장편,한국,0,0,0,0,28900,드라마,연소자관람가,일반영화
23068,새엄마는 외계인,리차드 벤자민,,콜럼비아트라이스타㈜,,1991-08-15,개봉영화,장편,미국,0,0,0,0,55704,코미디,고등학생이상관람가,일반영화
23069,색겁정겁,구예도,,(주)영상시대,,1997-02-01,개봉영화,장편,홍콩,0,0,0,0,276,멜로/로맨스,연소자관람불가,일반영화
23070,색깔있는 남자,김성수,세경진흥(주),,,1985-11-02,개봉영화,장편,한국,0,0,0,0,17733,성인물(에로),연소자관람불가,일반영화
23071,색깔있는 여자,김성수,화풍흥업,,,1981-06-27,개봉영화,장편,한국,0,0,0,0,90388,드라마,연소자관람불가,일반영화
23072,색녀도,박호태,대흥영화㈜,,,1990-11-10,개봉영화,장편,한국,0,0,0,0,6167,멜로/로맨스,연소자관람불가,일반영화
23073,색동공주,양우,,(주)대성영화,,1996-12-24,개봉영화,장편,홍콩,0,0,0,0,823,성인물(에로),연소자관람불가,일반영화
