감독,제작사,영화형태,국적,전국 스크린수,전국 관객수,장르,등급,영화구분,개봉월
15.174746366112839,15.174746366112839,장편,한국,599,3893216,코미디,15세이상관람가,일반영화,01
15.083870632898496,14.984926655240894,장편,한국,811,3872015,사극,12세이상관람가,일반영화,02
15.322772005576077,15.163436682469486,장편,한국,1054,3849433,사극,15세이상관람가,일반영화,04
12.45877027915102,15.161618659941345,장편,미국,799,3842441,액션,15세이상관람가,일반영화,05
15.495762679226203,14.704056849157395,장편,한국,1229,3829891,사극,15세이상관람가,일반영화,10
12.573835095430939,13.386468910369798,장편,한국,2575,3812080,액션,15세이상관람가,일반영화,07
13.52181086398444,14.755566448860673,장편,미국,1576,3784602,액션,청소년관람불가,일반영화,05
13.966063969167317,13.432378393314263,장편,한국,499,3779553,드라마,청소년관람불가,일반영화,12
12.698681151558208,15.143280543331112,장편,한국,1177,3772620,범죄,15세이상관람가,일반영화,10
14.216735007167605,14.920126999484303,장편,한국,1180,3754983,드라마,12세이상관람가,일반영화,11
15.13088206137137,13.169523556177534,장편,한국,585,3726134,사극,15세이상관람가,일반영화,09
15.118156970331988,15.118156970331988,장편,한국,1486,3679019,드라마,12세이상관람가,일반영화,10
13.52181086398444,15.112300528024837,장편,미국,1311,3657536,액션,12세이상관람가,일반영화,08
13.187249204136725,14.447987890692541,장편,미국,1469,3653238,액션,15세이상관람가,일반영화,04
13.058184611154436,13.058184611154436,장편,일본,947,3637122,애니메이션,12세이상관람가,일반영화,01
15.196866081094768,15.100321599599964,장편,한국,1688,3613984,액션,15세이상관람가,일반영화,07
14.25187784815017,12.367709875992677,장편,미국,727,3597193,드라마,12세이상관람가,일반영화,12
11.063962329980429,11.063962329980429,장편,한국,876,3586523,드라마,15세이상관람가,일반영화,02
13.885231333838789,15.090780337290779,장편,미국,603,3579666,액션,12세이상관람가,일반영화,10
15.020417397515505,14.832670084972982,장편,한국,794,3562123,범죄,청소년관람불가,일반영화,07
14.162297185119193,11.841560313847781,장편,한국,453,3450941,드라마,15세이상관람가,일반영화,01
14.621975845554417,14.363583525109796,장편,한국,645,3450143,액션,15세이상관람가,일반영화,05
12.007835212592111,15.263749532761022,장편,한국,785,3423920,액션,15세이상관람가,일반영화,09
15.044457886359318,15.263749532761022,장편,한국,862,3417629,코미디,12세이상관람가,일반영화,01
14.584228252532583,15.041678712974605,장편,한국,736,3408144,드라마,청소년관람불가,일반영화,07
