영화명,감독,제작사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
토이 솔져스: 가짜사나이2 더 컴플리트,오윤동,씨제이포디플렉스 주식회사,2021-01-27,장편,한국,155,108309800.0,11116,33257000.0,3287,다큐멘터리,15세이상관람가,일반영화
오! 마이 고스트,홍태선,한국영상대학교필름에이픽쳐스주식회사 제이씨엔터웍스,2022-09-15,장편,한국,283,87624391.0,11094,42463498.0,5675,코미디,15세이상관람가,독립/예술영화
1984 최동원,조은성,(주)영화사진엠앤씨에프,2021-11-11,장편,한국,172,93161730.0,11069,41725940.0,5608,다큐멘터리,전체관람가,독립/예술영화
오션스: 문어구출대작전,헤 질리,,2019-10-03,장편,중국,191,83373580.0,11055,15532680.0,1896,애니메이션,전체관람가,일반영화
시간을 꿈꾸는 소녀,박혁지,(주)하이하버픽쳐스,2023-01-11,장편,한국,77,85564894.0,11011,51461097.0,6466,다큐멘터리,12세이상관람가,독립/예술영화
스파이즈,기욤 이베르넬,,2020-01-15,장편,프랑스,224,81267560.0,11000,17357940.0,2128,애니메이션,전체관람가,일반영화
꼬마 물고기 이자벨: 바다 대모험,사샤 버로우,,2019-07-18,장편,미국,121,78359740.0,10998,19953600.0,2159,애니메이션,전체관람가,독립/예술영화
화이트데이: 부서진 결계,송운,(주)슬기로운늑대,2021-10-06,장편,한국,356,102070580.0,10997,28183540.0,3254,공포(호러),15세이상관람가,일반영화
디어 마이 프렌드,피터 허칭스,BCDF Pictures,2019-10-09,장편,미국,136,87539100.0,10969,39796200.0,4854,드라마,12세이상관람가,독립/예술영화
손오공: 돌원숭이의 탄생,스기노 아키오후미히로 요시무라,,2012-09-13,장편,일본,83,69621000.0,10965,14423000.0,2011,애니메이션,전체관람가,일반영화
토이무비: 미래대모험,게리 왕,,2018-10-03,장편,중국,176,80683600.0,10912,17950650.0,2239,애니메이션,전체관람가,독립/예술영화
써드 퍼슨 - 감독판,폴 해기스,,2015-05-28,장편,미국,108,87139400.0,10910,53578000.0,6579,드라마,청소년관람불가,독립/예술영화
나의 살던 고향은,류종헌,후즈닷컴,2016-11-24,장편,한국,62,82362100.0,10887,50619800.0,6510,다큐멘터리,전체관람가,독립/예술영화
파워캐치 완다: 버그본의 지구 습격,하시모토 미츠오,,2017-03-09,장편,일본,178,86394400.0,10881,18701700.0,2258,애니메이션,전체관람가,일반영화
루팡 3세: 더 퍼스트,야마자키 타카시,TMS 엔터테인먼트,2020-05-21,장편,일본,132,80053500.0,10859,29504500.0,4898,애니메이션,전체관람가,일반영화
이웃집 스타,김성욱,(주)컬처캡코리아,2017-09-21,장편,한국,256,78213300.0,10854,19512300.0,2377,코미디,12세이상관람가,일반영화
라이크 크레이지,드레이크 도레무스,파라마운트 밴티지,2018-05-30,장편,미국,116,81549980.0,10850,39981980.0,5165,드라마,12세이상관람가,독립/예술영화
잔칫날,김록경,스토리텔러 픽처스,2020-12-02,장편,한국,240,83241060.0,10809,31181890.0,4166,드라마,12세이상관람가,독립/예술영화
일곱 개의 대죄 : 천공의 포로,아베 노리유키,,2018-11-29,장편,일본,88,85536100.0,10806,25162700.0,3008,애니메이션,15세이상관람가,일반영화
더 미드와이프,마르탱 프로보스트,,2018-03-22,장편,프랑스,90,82443400.0,10791,53660400.0,6822,드라마,15세이상관람가,독립/예술영화
택시 5,프랑크 가스탐비드,EuropaCorp,2018-11-22,장편,프랑스,224,86093100.0,10768,30462400.0,3587,액션,15세이상관람가,일반영화
미스터 존스,아그네츠카 홀란드,,2021-01-07,장편,기타,277,94870400.0,10765,40040810.0,4438,드라마,15세이상관람가,독립/예술영화
시크릿 슈퍼스타,애드바이트 찬단,,2019-10-24,장편,기타,112,86453100.0,10758,44976400.0,5389,코미디,12세이상관람가,독립/예술영화
제 7기사단,키리야 카즈아키,(주)루카프로덕션,2015-09-10,장편,한국,95,80160964.0,10710,25940364.0,3415,액션,15세이상관람가,일반영화
극장판 빰바라빤쮸: 바나나 왕국의 비밀,벤피 네코,,2017-02-22,장편,일본,140,76934800.0,10681,20312400.0,2657,애니메이션,전체관람가,일반영화
쓰리 세컨즈,안톤 메거딕체브,,2019-06-20,장편,러시아,183,83005450.0,10659,38232710.0,4368,드라마,12세이상관람가,일반영화
영웅본색4,딩성,,2018-03-22,장편,중국,110,73375200.0,10659,26373100.0,3617,액션,15세이상관람가,독립/예술영화
살아남은 아이,신동석,(주)아토,2018-08-30,장편,한국,68,89138900.0,10652,55553600.0,6382,드라마,12세이상관람가,독립/예술영화
사랑해 매기,에우헤니오 데르베스,,2016-07-27,장편,기타,66,79763000.0,10646,45299000.0,5773,코미디,15세이상관람가,독립/예술영화
정말 먼 곳,박근영,봄내필름(주)찰나,2021-03-18,장편,한국,204,84243850.0,10644,49524360.0,6083,드라마,12세이상관람가,독립/예술영화
비뚤어진 집,질스 파겟-브레너,,2019-09-19,장편,영국,135,88027560.0,10639,47844460.0,5621,범죄,15세이상관람가,독립/예술영화
해피타임 스파이,브라이언 핸슨,,2019-05-23,장편,미국,60,23080360.0,10625,7627640.0,830,코미디,청소년관람불가,독립/예술영화
내 남자의 순이,김호준,여해 엔터테인먼트㈜프레임 에이치 컨텐츠 그룹,2010-05-27,장편,한국,100,74274657.0,10618,15711500.0,2057,코미디,15세이상관람가,일반영화
슈퍼레이서 엔지,허선,(주)크레이지버드스튜디오,2015-09-10,장편,한국,126,73587800.0,10612,14157900.0,1875,애니메이션,전체관람가,일반영화
5.18 힌츠페터 스토리,장영주,KBS,2018-05-17,장편,한국,119,72502600.0,10610,36067700.0,4336,다큐멘터리,12세이상관람가,독립/예술영화
소설가의 영화,홍상수,(주)영화제작전원사,2022-04-21,장편,한국,66,96262570.0,10574,70536900.0,7478,드라마,12세이상관람가,독립/예술영화
아키라,오토모 가츠히로,,2017-08-31,장편,일본,71,86224200.0,10574,51338000.0,6214,애니메이션,15세이상관람가,독립/예술영화
백투더 씨,톰 루,,2014-08-21,장편,중국,85,71452300.0,10566,9568300.0,1316,애니메이션,전체관람가,독립/예술영화
유아 넥스트,아담 윈가드,,2014-08-07,장편,미국,78,86743900.0,10555,34495900.0,4126,공포(호러),청소년관람불가,독립/예술영화
어 퍼펙트 데이,페르난도 레온 데 아라노아,미디어프로,2017-09-21,장편,스페인,76,73150400.0,10488,47288400.0,6500,드라마,15세이상관람가,독립/예술영화
우주로봇 씨어,왕장준부걸,,2015-03-12,장편,중국,185,73050900.0,10483,8922900.0,1182,애니메이션,전체관람가,독립/예술영화
멘,알렉스 가랜드,,2022-07-13,장편,미국,96,95589560.0,10474,64527560.0,7347,드라마,청소년관람불가,독립/예술영화
워터 릴리스,셀린 시아마,,2020-08-13,장편,프랑스,89,90608032.0,10472,56223532.0,6293,드라마,15세이상관람가,독립/예술영화
트윈,타넬리 무스토넨,,2023-02-08,장편,기타,168,90459242.0,10425,36041994.0,4372,공포(호러),15세이상관람가,독립/예술영화
해피 버스데이,요시다 야스히로,,2017-09-28,장편,일본,81,82839300.0,10408,54672700.0,6472,드라마,전체관람가,독립/예술영화
한창나이 선녀님,원호연,(주)큰물고기미디어,2021-10-20,장편,한국,74,63438020.0,10398,33470780.0,5352,다큐멘터리,전체관람가,독립/예술영화
타다: 대한민국 스타트업의 초상,권명국,(주)시네마틱퍼슨,2021-10-14,장편,한국,73,86431380.0,10382,65262040.0,7783,다큐멘터리,전체관람가,독립/예술영화
빅토리아 & 압둘,스티븐 프리어스,BBC 필름스,2017-10-25,장편,미국,144,73487278.0,10366,38701778.0,5283,드라마,12세이상관람가,독립/예술영화
