영화명,감독,제작사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
남쪽으로 튀어,임순례,(주)영화사거미필름트레인,2013-02-06,장편,한국,428,5907297500.0,821918,1479390000.0,198233,코미디,15세이상관람가,일반영화
베이비 드라이버,에드가 라이트,미디어 라이트 캐피탈,2017-09-14,장편,영국,778,6688509214.0,821419,2396693714.0,284626,액션,15세이상관람가,일반영화
브리짓 존스의 베이비,샤론 맥과이어,스튜디오카날,2016-09-28,장편,미국,509,6678585874.0,820995,2641542374.0,314889,코미디,15세이상관람가,일반영화
유체이탈자,윤재근,(주)비에이엔터테인먼트(주)사람엔터테인먼트,2021-11-24,장편,한국,1216,7941270790.0,818880,1890160630.0,195864,판타지,15세이상관람가,일반영화
레드슈즈,홍성호,(주)싸이더스,2019-07-25,장편,한국,717,6102923190.0,817547,1380911550.0,201881,애니메이션,전체관람가,일반영화
틴틴 : 유니콘호의 비밀,스티븐 스필버그,니켈로디언 무비스,2011-12-07,장편,미국,644,6721820500.0,814023,2231009500.0,254024,애니메이션,전체관람가,일반영화
나이브스 아웃,라이언 존슨,미디어 라이츠 캐피털,2019-12-04,장편,미국,686,6833383090.0,810208,3129577620.0,363449,미스터리,12세이상관람가,일반영화
하트 오브 더 씨,론 하워드,빌리지 로드쇼 픽처스,2015-12-03,장편,미국,535,6779908023.0,809755,2013490023.0,227317,액션,12세이상관람가,일반영화
모범시민,F. 게리 그레이,,2009-12-10,장편,미국,309,5933122225.0,807486,1989985500.0,257733,스릴러,15세이상관람가,일반영화
써로게이트,조나단 모스토우,,2009-10-01,장편,미국,224,6020292355.0,806924,2106905000.0,269912,SF,15세이상관람가,일반영화
헝거게임: 더 파이널,프란시스 로렌스,라이온스 게이트 필름즈,2015-11-18,장편,미국,661,6070679163.0,806709,2032143445.0,257953,액션,15세이상관람가,일반영화
킹스 스피치,톰 후퍼,와인스타인 컴퍼니,2011-03-17,장편,영국,317,5963126500.0,806248,2670236000.0,344099,드라마,12세이상관람가,일반영화
스피드 레이서,릴리 워쇼스키라나 워쇼스키,빌리지 로드쇼 픽처스,2008-05-08,장편,미국,339,5219874500.0,804631,2075139500.0,301766,액션,12세이상관람가,일반영화
하늘에서 음식이 내린다면 2,코디 카메론크리스 피언,소니 픽처스 애니메이션,2013-11-21,장편,미국,545,5423213000.0,800062,1182203500.0,162353,애니메이션,전체관람가,일반영화
카트,부지영,(주)명필름,2014-11-13,장편,한국,544,5809735433.0,799275,1446480033.0,189714,드라마,12세이상관람가,일반영화
컨저링3: 악마가 시켰다,마이클 차베즈,,2021-06-03,장편,미국,1133,8023107360.0,799261,1892457550.0,182098,공포(호러),15세이상관람가,일반영화
A-특공대,조 카나한,듄 엔터테인먼트,2010-06-10,장편,미국,330,5890424042.0,791173,1983672000.0,253638,액션,15세이상관람가,일반영화
화이트: 저주의 멜로디,김곡김선,(주)두엔터테인먼트,2011-06-09,장편,한국,305,5587166000.0,790954,1093550000.0,146776,공포(호러),15세이상관람가,일반영화
상의원,이원석,(주)영화사비단길상의원문화산업전문(유),2014-12-24,장편,한국,466,6202433964.0,790158,1904029164.0,236326,사극,15세이상관람가,일반영화
잭 리처,크리스토퍼 맥쿼리,파라마운트 픽쳐스,2013-01-17,장편,미국,431,5758577000.0,784031,1767476500.0,230355,액션,15세이상관람가,일반영화
블랙 아담,자움 콜렛 세라,,2022-10-19,장편,미국,1524,8040723608.0,779485,2247619017.0,205681,액션,12세이상관람가,일반영화
킹메이커,변성현,(주)씨앗필름,2022-01-26,장편,한국,1185,7313720610.0,775583,2017189830.0,213017,드라마,15세이상관람가,일반영화
관능의 법칙,권칠인,(주)명필름,2014-02-13,장편,한국,591,5808789500.0,773996,1798198300.0,231102,드라마,청소년관람불가,일반영화
그랜드 부다페스트 호텔,웨스 앤더슨,폭스 서치라이트 픽처스,2014-03-20,장편,미국,163,6012395982.0,773649,3516635882.0,444985,미스터리,15세이상관람가,독립/예술영화
푸른소금,이현승,(주)미디어앤시네마스튜디오블루,2011-08-31,장편,한국,476,5739824500.0,771699,1634205500.0,208701,액션,15세이상관람가,일반영화
나는 왕이로소이다,장규성,데이지엔터테인먼트,2012-08-08,장편,한국,471,5317185404.0,768971,1274113835.0,176961,사극,12세이상관람가,일반영화
상류사회,변혁,(주)하이브미디어코프,2018-08-29,장편,한국,867,6313416163.0,768442,1519155763.0,181389,드라마,청소년관람불가,일반영화
뽀로로 극장판 보물섬 대모험,김현호윤창섭김현호,(주)오콘,2019-04-25,장편,한국,736,5886268900.0,766758,1016498870.0,126872,애니메이션,전체관람가,일반영화
레슬러,김대웅,(주)안나푸르나필름,2018-05-09,장편,한국,957,6440492657.0,765963,1392248057.0,159549,드라마,15세이상관람가,일반영화
토르: 마법망치의 전설,오스카 요나손토비 젠켈거나 칼슨,,2012-02-09,장편,기타,383,5529185000.0,765315,1122505000.0,146284,애니메이션,전체관람가,일반영화
레지던트 이블: 파멸의 날,폴 W.S. 앤더슨,스크린 젬스,2017-01-25,장편,미국,599,6422202365.0,765259,1676603015.0,193951,액션,청소년관람불가,일반영화
공각기동대 : 고스트 인 더 쉘,루퍼트 샌더스,드림웍스 픽처스,2017-03-29,장편,미국,807,6285970884.0,764072,1900110084.0,222563,SF,15세이상관람가,일반영화
리오 2,카를로스 살다나,블루 스카이 스튜디오,2014-05-01,장편,미국,598,5631146900.0,761404,1224776100.0,159313,애니메이션,전체관람가,일반영화
모던보이,정지우,(주)시네마서비스글로벌(주)시네마서비스,2008-10-02,장편,한국,373,4971421000.0,758473,1695482500.0,246098,드라마,12세이상관람가,일반영화
스플릿,최국희,오퍼스픽쳐스(유),2016-11-09,장편,한국,702,6097721539.0,757430,1497661939.0,177946,드라마,15세이상관람가,일반영화
볼트,바이론 하워드크리스 윌리엄스,,2008-12-31,장편,미국,299,4993959268.0,757337,2561818514.0,373046,애니메이션,전체관람가,일반영화
캣츠,톰 후퍼,,2019-12-24,장편,미국,1143,6322357050.0,756232,2199706940.0,253537,뮤지컬,12세이상관람가,일반영화
대외비,이원태,(주)트윈필름(주)비에이엔터테인먼트,2023-03-01,장편,한국,1157,7410943199.0,749706,1600349823.0,159506,범죄,15세이상관람가,일반영화
안녕 헤이즐,조쉬 분,템플 힐 엔터테인먼트,2014-08-13,장편,미국,323,5795507000.0,744387,1934275000.0,238850,드라마,12세이상관람가,일반영화
주유소 습격사건 2,김상진,㈜감독의집(주)시네마서비스,2010-01-21,장편,한국,322,5466499511.0,742475,1378973500.0,176464,액션,15세이상관람가,일반영화
시간 여행자의 아내,로베르트 슈벤트케,뉴라인 시네마,2009-10-28,장편,미국,300,5485456860.0,738963,2328463000.0,299300,멜로/로맨스,12세이상관람가,일반영화
자백,윤종석,리얼라이즈픽쳐스(주),2022-10-26,장편,한국,1115,7352587230.0,738122,1851324308.0,181290,범죄,15세이상관람가,일반영화
김씨표류기,이해준,반짝반짝영화사(주),2009-05-14,장편,한국,288,4796220849.0,733931,1674506000.0,244182,코미디,12세이상관람가,일반영화
런던 해즈 폴른,바박 나자피,G-BASE,2016-03-10,장편,미국,523,5908203979.0,731551,1743777879.0,207959,액션,15세이상관람가,일반영화
더 파이브,정연식,(주)시네마서비스,2013-11-14,장편,한국,501,5343797000.0,731212,1474402500.0,192286,스릴러,청소년관람불가,일반영화
언차티드,루벤 플레셔,,2022-02-16,장편,미국,1536,7116304100.0,730924,2044063780.0,203638,액션,12세이상관람가,일반영화
순정만화,류장하,㈜렛츠필름영화사청어람(주),2008-11-27,장편,한국,386,4674779333.0,730343,1698524333.0,250747,멜로/로맨스,12세이상관람가,일반영화
비스티 보이즈,윤종빈,(주)와이어투와이어필름,2008-04-30,장편,한국,278,4785372500.0,727409,1874552500.0,273065,드라마,청소년관람불가,독립/예술영화
푸시,폴 맥기건,서미트 엔터티인먼트,2009-03-19,장편,미국,258,4817364578.0,726998,1553269500.0,222735,SF,15세이상관람가,일반영화
슬픔보다 더 슬픈 이야기,원태연,(주)코어콘텐츠미디어,2009-03-11,장편,한국,353,4774850499.0,724107,1319444000.0,189190,멜로/로맨스,15세이상관람가,일반영화
스파이더맨: 뉴 유니버스,밥 퍼시케티피터 램지로드니 로스맨,컬럼비아 픽처스,2018-12-12,장편,미국,722,6008476176.0,723450,2397450086.0,276005,애니메이션,12세이상관람가,일반영화
물괴,허종호,(주)태원엔터테인먼트,2018-09-12,장편,한국,1183,6104164954.0,723414,1317227754.0,149475,액션,15세이상관람가,일반영화
미쓰백,이지원,영화사 배,2018-10-11,장편,한국,638,6027243066.0,720558,1575923166.0,184908,드라마,15세이상관람가,일반영화
신데렐라,케네스 브래너,,2015-03-19,장편,미국,531,5499767900.0,716386,1654573800.0,205943,멜로/로맨스,전체관람가,일반영화
기적,이장훈,(주)블러썸픽쳐스,2021-09-15,장편,한국,1198,6630962710.0,715434,1524679140.0,173897,드라마,12세이상관람가,일반영화
풍산개,전재홍,(주)김기덕 필름,2011-06-23,장편,한국,286,5395019500.0,714102,1709358000.0,217988,드라마,청소년관람불가,일반영화
날씨의 아이,신카이 마코토,코믹스 웨이브 필름,2019-10-30,장편,일본,716,5845763050.0,712750,1916097650.0,224294,애니메이션,15세이상관람가,일반영화
고질라,가렛 에드워즈,,2014-05-15,장편,미국,610,5972847963.0,709734,1655498463.0,180321,액션,12세이상관람가,일반영화
마음이2,이정철,북경금전영업유한공사(주)씨엘엔터테인먼트(주)화인웍스,2010-07-21,장편,한국,261,4705692210.0,707748,988226500.0,143504,드라마,전체관람가,독립/예술영화
라스베가스에서만 생길 수 있는 일,톰 바우건,,2008-05-29,장편,미국,273,4604235334.0,704834,1859935834.0,273802,멜로/로맨스,15세이상관람가,일반영화
스위니 토드 : 어느 잔혹한 이발사 이야기,팀 버튼,,2008-01-17,장편,미국,246,4761820000.0,704058,2320324000.0,331508,뮤지컬,청소년관람불가,일반영화
고질라 VS. 콩,아담 윈가드,레전더리 픽처스,2021-03-25,장편,미국,1295,6772634130.0,703485,1715996700.0,165888,액션,12세이상관람가,일반영화
국가대표 2,김종현,케이엠컬쳐㈜,2016-08-10,장편,한국,562,5424324942.0,703024,1319827542.0,166219,드라마,12세이상관람가,일반영화
천일의 스캔들,저스틴 채드윅,BBC 필름스,2008-03-20,장편,미국,131,4599546001.0,700095,2149808001.0,314614,사극,15세이상관람가,일반영화
내 깡패 같은 애인,김광식,(주)제이케이필름,2010-05-20,장편,한국,248,5109441315.0,699973,1408953500.0,182817,드라마,15세이상관람가,독립/예술영화
트랜센던스,월리 피스터,워너브라더스 픽처스,2014-05-14,장편,미국,417,5478201500.0,696412,2099194700.0,256854,SF,12세이상관람가,일반영화
님스 아일랜드,마크 레빈,,2008-07-17,장편,미국,266,4273735000.0,694728,1207202500.0,186728,코미디,전체관람가,일반영화
통증,곽경택,(주)트로피엔터테인먼트(주)영화사축제(주)미스터로맨스,2011-09-07,장편,한국,317,5207167000.0,693101,1461450500.0,184530,멜로/로맨스,15세이상관람가,일반영화
인페르노,론 하워드,,2016-10-19,장편,미국,754,5656281303.0,689071,1920944703.0,224942,미스터리,15세이상관람가,일반영화
명탐정 피카츄,롭 레터맨,,2019-05-09,장편,미국,817,5730788546.0,686809,1767248906.0,201613,액션,전체관람가,일반영화
분노의 질주: 더 오리지널,저스틴 린,오리지널 필름,2009-04-02,장편,미국,289,4598492639.0,685746,1439667000.0,202705,액션,15세이상관람가,일반영화
스텝 업 3D,존 추,오프스프링,2010-08-05,장편,미국,253,7462604919.0,682712,2419206500.0,214074,드라마,12세이상관람가,일반영화
스파이더위크가의 비밀,마크 S. 워터스,,2008-02-14,장편,미국,172,4151259500.0,682525,1289418500.0,202462,어드벤처,전체관람가,일반영화
픽셀,크리스 콜럼버스,,2015-07-16,장편,미국,557,5390909947.0,681945,1644960347.0,195473,액션,12세이상관람가,일반영화
앵그리버드 더 무비,퍼갈 레일리클레이 케이티스,로비오 엔터테인먼트,2016-05-19,장편,미국,661,5218111744.0,680606,1150894444.0,140314,애니메이션,전체관람가,일반영화
경관의 피,이규만,리양필름(주),2022-01-05,장편,한국,1187,6687389520.0,679503,1585404290.0,158145,범죄,15세이상관람가,일반영화
신비아파트: 금빛 도깨비와 비밀의 동굴,김병갑,(주)씨제이이엔엠(주)칵테일 미디어,2018-07-25,장편,한국,762,5001247250.0,678091,699258600.0,91723,애니메이션,전체관람가,일반영화
트롤,마이크 미첼월트 도른,드림웍스 애니메이션,2017-02-16,장편,미국,622,5011161500.0,675966,1057171000.0,136139,애니메이션,전체관람가,일반영화
몬스터 vs 에이리언,롭 레터맨콘래드 베논,드림웍스 애니메이션,2009-04-23,장편,미국,324,4622178693.0,672285,1500897000.0,196845,애니메이션,전체관람가,일반영화
고양이: 죽음을 보는 두 개의 눈,변승욱,파인하우스필름(주),2011-07-07,장편,한국,304,4767098000.0,670295,1119188000.0,149463,공포(호러),15세이상관람가,일반영화
패신저스,모튼 틸덤,,2017-01-04,장편,미국,608,5467466918.0,668576,1753464218.0,208036,어드벤처,12세이상관람가,일반영화
퍼스트맨,데이미언 셔젤,유니버설 픽처스,2018-10-18,장편,미국,1190,6094765639.0,665364,2286908439.0,234728,SF,12세이상관람가,일반영화
하늘에서 음식이 내린다면,필 로드크리스 밀러,소니 픽쳐스 애니메이션,2010-02-11,장편,미국,281,5500218152.0,665096,1686106500.0,187169,애니메이션,전체관람가,일반영화
극장판 주술회전 0,박성후,MAPPA,2022-02-17,장편,일본,836,6628272858.0,664565,2029428866.0,192370,애니메이션,15세이상관람가,일반영화
유령,이해영,더램프(주),2023-01-18,장편,한국,1099,6760515879.0,664102,1745757606.0,168160,액션,15세이상관람가,일반영화
명탐정 코난 : 칠흑의 추적자,야마모토 타이치로,,2009-07-29,장편,일본,200,4248881868.0,661550,918625000.0,137471,애니메이션,전체관람가,일반영화
삼총사 3D,폴 W.S. 앤더슨,,2011-10-12,장편,독일,510,5710755500.0,657564,2047683000.0,217628,액션,12세이상관람가,일반영화
샤잠!,데이비드 F. 샌드버그,,2019-04-03,장편,미국,1148,5730673797.0,656492,1794508367.0,196571,액션,12세이상관람가,일반영화
실종,가타야마 신조,활동사진모션픽쳐,2009-03-19,장편,한국,257,4415413589.0,654587,1084313000.0,150809,범죄,청소년관람불가,일반영화
열정같은소리하고있네,정기훈,반짝반짝영화사(주),2015-11-25,장편,한국,566,4761399902.0,654407,1351744002.0,177071,드라마,15세이상관람가,일반영화
아이 엠 넘버 포,D.J. 카루소,,2011-02-24,장편,미국,284,4955215500.0,654386,1576235000.0,197802,액션,12세이상관람가,일반영화
엔더스 게임,개빈 후드,서밋 엔터테인먼트,2013-12-31,장편,미국,460,4925056000.0,654212,1564711500.0,199025,SF,12세이상관람가,일반영화
그날의 분위기,조규장,영화사 문(주),2016-01-14,장편,한국,592,5142899612.0,652453,1404786825.0,171304,멜로/로맨스,15세이상관람가,일반영화
여고괴담 5,이종용,(주)씨네이천,2009-06-18,장편,한국,318,4205826795.0,652097,1087081000.0,157643,공포(호러),15세이상관람가,일반영화
울학교 이티,박광춘,㈜커리지필름,2008-09-11,장편,한국,298,4156170833.0,651439,1076953333.0,160113,드라마,15세이상관람가,일반영화
오션스,자끄 페렝자크 클로드,가라티필름,2010-07-28,장편,프랑스,217,4473889375.0,650994,1145436000.0,158175,다큐멘터리,전체관람가,독립/예술영화
아빠는 딸,김형협,영화사김치(주),2017-04-12,장편,한국,520,5047634395.0,646412,1154175195.0,141570,코미디,12세이상관람가,일반영화
사냥,이우철,(주)빅스톤픽쳐스,2016-06-29,장편,한국,696,4912658515.0,645922,1275511815.0,162472,액션,15세이상관람가,일반영화
눈먼자들의 도시,페르난도 메이렐레스,,2008-11-20,장편,기타,238,4356692000.0,645218,1700769000.0,241012,드라마,청소년관람불가,일반영화
리오,카를로스 살다나,,2011-07-27,장편,미국,333,5022007500.0,645191,1246908000.0,148653,애니메이션,전체관람가,일반영화
나를 찾아줘,김승우,20세기 폭스,2019-11-27,장편,한국,875,5117014620.0,645082,1211838780.0,146847,스릴러,15세이상관람가,일반영화
명탐정 코난 : 침묵의 15분,시즈노 코분,도호,2011-08-03,장편,일본,275,4209588000.0,644216,853386500.0,124473,애니메이션,전체관람가,일반영화
페임,케빈 탄차로엔,레이크쇼어 엔터테인먼트,2009-09-24,장편,미국,328,4727133460.0,644163,2008257500.0,261798,뮤지컬,12세이상관람가,독립/예술영화
머니볼,베넷 밀러,,2011-11-17,장편,미국,385,4677562000.0,641099,2129201500.0,277225,드라마,12세이상관람가,일반영화
호튼,지미 헤이워드스티브 마티노,,2008-04-30,장편,미국,336,3802813334.0,638598,1098249334.0,176858,애니메이션,전체관람가,일반영화
광대들: 풍문조작단,김주호,(주)영화사심플렉스,2019-08-21,장편,한국,806,5226776088.0,637021,1097148968.0,129821,사극,12세이상관람가,일반영화
스노우 화이트 앤 더 헌츠맨,루퍼트 샌더스,유니버설 픽처스,2012-05-30,장편,미국,447,4646250000.0,636631,1477032000.0,191591,액션,12세이상관람가,일반영화
널 기다리며,모홍진,(주)영화사수작모티브픽쳐스(주)(주)디씨지플러스,2016-03-10,장편,한국,551,5232611336.0,634953,1188915987.0,138898,스릴러,청소년관람불가,일반영화
플랜맨,성시흡,(주)영화사일취월장,2014-01-09,장편,한국,458,4528561558.0,632299,1107270058.0,147025,드라마,15세이상관람가,일반영화
엔칸토: 마법의 세계,바이론 하워드자레드 부시채리스 카스트로 스미스,월트 디즈니 픽처스,2021-11-24,장편,미국,1102,5979022100.0,630762,1545212270.0,155017,애니메이션,전체관람가,일반영화
핸드폰,김한민,(주)씨네토리(주)한컴,2009-02-19,장편,한국,356,4271780582.0,630049,1207936000.0,169335,스릴러,청소년관람불가,일반영화
컨택트,드니 빌뇌브,,2017-02-02,장편,미국,605,5174020721.0,629322,2112362621.0,249789,SF,12세이상관람가,일반영화
조선마술사,김대승,위더스필름(주),2015-12-30,장편,한국,608,4650016527.0,628576,1107370838.0,144953,드라마,12세이상관람가,일반영화
다찌마와리,류승완,(주)외유내강(주)쇼박스,2008-08-14,장편,한국,299,4131701167.0,628508,1599187667.0,233232,액션,12세이상관람가,일반영화
명탐정 코난: 천공의 난파선,야마모토 야스이치로,도쿄 무비 신사,2010-07-21,장편,일본,234,4065925171.0,628423,805351500.0,118938,애니메이션,전체관람가,일반영화
설리: 허드슨강의 기적,클린트 이스트우드,빌리지 로드쇼 픽처스,2016-09-28,장편,미국,573,5234170754.0,627102,1679863954.0,192870,드라마,12세이상관람가,일반영화
지푸라기라도 잡고 싶은 짐승들,김용훈,(주)비에이엔터테인먼트,2020-02-19,장편,한국,996,5442138750.0,626815,1631018560.0,185951,스릴러,청소년관람불가,일반영화
앨빈과 슈퍼밴드2,베티 토머스,,2009-12-30,장편,미국,237,4171956017.0,625900,1132116000.0,161535,가족,전체관람가,일반영화
더 임파서블,후안 안토니오 바요나,워너브라더스,2013-01-17,장편,스페인,408,4444581500.0,622572,1193576000.0,161126,액션,12세이상관람가,일반영화
아더 크리스마스,베리 쿡,아드먼 애니메이션,2011-11-25,장편,미국,356,4779642000.0,622286,1276658000.0,153783,애니메이션,전체관람가,일반영화
눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,,2014-12-24,장편,러시아,479,4482452600.0,618598,858046900.0,113356,애니메이션,전체관람가,독립/예술영화
인 타임,앤드류 니콜,리젠시 엔터프라이즈,2011-10-27,장편,미국,304,4579554500.0,616943,1724354000.0,220645,SF,12세이상관람가,일반영화
홍길동의 후예,정용기,시오필름(주)어나더픽쳐스(주),2009-11-26,장편,한국,380,4293061087.0,616654,1152829000.0,159661,액션,12세이상관람가,일반영화
특종: 량첸살인기,노덕,(주)매그넘나인(주)뱅가드스튜디오,2015-10-22,장편,한국,776,4754763118.0,616481,1319649718.0,165767,스릴러,15세이상관람가,일반영화
잭 리처: 네버 고 백,에드워드 즈윅,스카이댄스 프로덕션스,2016-11-30,장편,미국,667,4647326258.0,612328,1384339358.0,176367,액션,15세이상관람가,일반영화
미쓰GO,박철관,영화사 도로시(주),2012-06-21,장편,한국,440,4441859000.0,611685,1194708500.0,155409,액션,15세이상관람가,일반영화
서부전선,천성일,(주)하리마오픽쳐스,2015-09-24,장편,한국,509,4751661400.0,609063,1045890400.0,128610,전쟁,12세이상관람가,일반영화
압꾸정,임진순,주식회사 빅펀치픽쳐스(주)홍필름(주)비에이엔터테인먼트,2022-11-30,장편,한국,1229,5727172661.0,608639,1223429718.0,127818,코미디,12세이상관람가,일반영화
그린 존,폴 그린그래스,유니버셜 픽쳐스,2010-03-25,장편,미국,280,4534073117.0,606841,1764722500.0,224900,드라마,15세이상관람가,일반영화
헝거게임: 판엠의 불꽃,게리 로스,라이온스 게이트 필름즈,2012-04-05,장편,미국,514,4470681000.0,606531,1781865500.0,231022,액션,15세이상관람가,일반영화
왓치맨,잭 스나이더,파라마운트 픽쳐스워너 브러더스 픽쳐스,2009-03-05,장편,미국,358,4175166338.0,606317,1635321000.0,223291,액션,청소년관람불가,일반영화
연애 빠진 로맨스,정가영,(주)씨제이이엔엠트웰브져니(주),2021-11-24,장편,한국,967,6148017790.0,606273,1845712890.0,181524,멜로/로맨스,15세이상관람가,일반영화
이층의 악당,손재곤,(유)이층의 악당 문화산업전문회사,2010-11-24,장편,한국,384,4332815318.0,605224,1469062000.0,193993,코미디,15세이상관람가,일반영화
피에타,김기덕,(주)김기덕 필름,2012-09-06,장편,한국,291,4354008500.0,602967,1733182500.0,231026,드라마,청소년관람불가,독립/예술영화
미스터 주: 사라진 VIP,김태윤,리양필름(주),2020-01-22,장편,한국,692,5057108660.0,601675,985780260.0,115640,코미디,12세이상관람가,일반영화
다이노소어 어드벤처 3D,베리 쿡닐 나이팅게일,20세기 폭스,2013-12-19,장편,미국,464,4860516500.0,599963,1098977000.0,128585,액션,전체관람가,일반영화
반가운 살인자,김동욱,(주)영화사소풍,2010-04-08,장편,한국,261,4347073175.0,599176,1236642000.0,163606,코미디,15세이상관람가,일반영화
우는 남자,이정범,다이스필름(주),2014-06-04,장편,한국,508,4883740800.0,599050,1416378800.0,167680,액션,청소년관람불가,일반영화
콜롬비아나,올리비에 메가턴,유로파코프,2011-08-31,장편,미국,397,4514940000.0,598373,1515451500.0,192192,액션,15세이상관람가,일반영화
타잔 3D,라인하드 클루스,,2014-01-09,장편,독일,527,4452845000.0,597142,974501500.0,124008,애니메이션,전체관람가,일반영화
레터스 투 줄리엣,게리 위닉,서미트 엔터티인먼트,2010-10-06,장편,미국,284,4343347481.0,593630,1949740500.0,254400,멜로/로맨스,12세이상관람가,일반영화
황제를 위하여,박상준,오퍼스픽쳐스(유),2014-06-11,장편,한국,423,4751881771.0,592041,970871571.0,115829,액션,청소년관람불가,일반영화
맨 온 렛지,애스게르 레스,디보나벤투라 픽처스,2012-02-22,장편,미국,408,4393531500.0,591841,1529425000.0,196445,범죄,15세이상관람가,일반영화
패션왕,오기환,주식회사 와이랩(주)노마드필름,2014-11-06,장편,한국,523,4338223379.0,591125,991436179.0,128375,코미디,15세이상관람가,일반영화
그것: 두 번째 이야기,안드레스 무시에티,뉴 라인 시네마,2019-09-04,장편,미국,999,5107465367.0,591043,1404236307.0,157197,스릴러,15세이상관람가,일반영화
뜨거운 것이 좋아,권칠인,(주)시네마서비스,2008-01-17,장편,한국,256,3790235833.0,590409,1344619833.0,202830,드라마,15세이상관람가,일반영화
47 미터,요하네스 로버츠,엔터테인먼트 스튜디오스,2017-07-19,장편,영국,733,4686022657.0,590036,1043910157.0,125764,스릴러,15세이상관람가,일반영화
극장판 헬로카봇 : 달나라를 구해줘!,최신규김진철,(주)초이락컨텐츠팩토리,2019-09-04,장편,한국,889,4553434150.0,587818,687159820.0,84670,애니메이션,전체관람가,일반영화
더 울프 오브 월스트리트,마틴 스코세이지,,2014-01-09,장편,미국,395,4490682000.0,585082,2130174000.0,271592,범죄,청소년관람불가,일반영화
바디 오브 라이즈,리들리 스콧,,2008-10-23,장편,미국,232,3811488333.0,584861,1458966333.0,211331,스릴러,15세이상관람가,일반영화
퀴즈왕,장진,소란플레이먼트(주),2010-09-16,장편,한국,323,4258992759.0,583183,1249453000.0,164631,코미디,15세이상관람가,일반영화
마법사의 제자,존 터틀타웁,,2010-07-21,장편,미국,298,4132049517.0,582698,1213116000.0,163071,드라마,전체관람가,일반영화
다크 섀도우,팀 버튼,빌리지 로드쇼 픽처스,2012-05-10,장편,미국,394,4326459000.0,582126,1488456500.0,189955,드라마,15세이상관람가,일반영화
고고 70,최호,(주)보경사,2008-10-03,장편,한국,362,3795149333.0,581468,1482033833.0,216129,드라마,15세이상관람가,일반영화
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,유야마 쿠니히코,도호,2022-06-01,장편,일본,809,5477045710.0,581216,815001560.0,83282,애니메이션,전체관람가,일반영화
어린왕자,마크 오스본,,2015-12-23,장편,프랑스,494,4336252627.0,579130,1389264338.0,177032,애니메이션,전체관람가,독립/예술영화
인시디어스: 두번째 집,제임스 완,그래머시 픽처스,2013-12-05,장편,미국,405,4001207000.0,577758,1051192000.0,143845,공포(호러),15세이상관람가,일반영화
백설공주,타셈 싱,,2012-05-03,장편,미국,386,4038223000.0,576150,1287829500.0,174825,판타지,전체관람가,일반영화
극장판 헬로카봇: 옴파로스 섬의 비밀,최신규김진철,(주)초이락컨텐츠팩토리,2019-01-31,장편,한국,752,4485905140.0,575353,724293890.0,88888,애니메이션,전체관람가,일반영화
인비저블맨,리 워넬,,2020-02-26,장편,미국,776,5015895060.0,575043,1551577840.0,173110,공포(호러),15세이상관람가,일반영화
채피,닐 블롬캠프,,2015-03-12,장편,미국,536,4620348654.0,573657,1430685654.0,167768,액션,15세이상관람가,일반영화
섀도우 헌터스: 뼈의 도시,해럴드 즈워트,,2013-09-12,장편,미국,374,4034176500.0,571074,1158559000.0,156564,판타지,15세이상관람가,일반영화
루퍼,라이언 존슨,엔드게임 엔터테이먼트,2012-10-11,장편,미국,386,4252182000.0,570010,1805984000.0,232553,SF,청소년관람불가,일반영화
앨빈과 슈퍼밴드3,마이크 미첼,,2011-12-15,장편,미국,327,3763147000.0,569773,833551500.0,120514,애니메이션,전체관람가,일반영화
화이트 하우스 다운,롤랜드 에머리히,컬럼비아 픽처스,2013-06-27,장편,미국,480,4015707500.0,569500,1348600000.0,184731,액션,15세이상관람가,일반영화
이스케이프 룸,애덤 로비텔,,2019-03-14,장편,미국,850,5007420664.0,563114,1360092834.0,149452,액션,15세이상관람가,일반영화
클로버필드,맷 리브스,,2008-01-24,장편,미국,281,3730650667.0,562764,1438500667.0,206661,SF,15세이상관람가,일반영화
파파,한지승,상상필름(주),2012-02-01,장편,한국,414,3866065500.0,562156,1001172500.0,140728,가족,12세이상관람가,일반영화
스텝 업: 올 인,트리시 시에,,2014-09-03,장편,미국,325,4313097134.0,560620,1112615734.0,138461,드라마,12세이상관람가,일반영화
싱 스트리트,존 카니,와인스타인 컴퍼니,2016-05-19,장편,기타,494,4488377672.0,560578,1924616772.0,236329,드라마,15세이상관람가,독립/예술영화
슈퍼맨이었던 사나이,정윤철,CJ ENM,2008-01-31,장편,한국,388,3688309333.0,559705,1183671833.0,173173,드라마,전체관람가,일반영화
레지던트 이블 5 : 최후의 심판,폴 W.S. 앤더슨,스크린 젬스,2012-09-13,장편,미국,368,4757460500.0,558433,1494514500.0,164990,액션,청소년관람불가,일반영화
잉크하트 : 어둠의 부활,이안 소프틀리,뉴라인 시네마,2009-01-29,장편,미국,240,3547748935.0,556496,1073680500.0,159183,어드벤처,전체관람가,일반영화
인시디어스4: 라스트 키,애덤 로비텔,블룸하우스 프로덕션,2018-01-31,장편,미국,769,4301309864.0,554521,985318264.0,123478,공포(호러),15세이상관람가,일반영화
