감독,제작사,배급사,전국 스크린수,전국 관객수,개봉년,국적_기타,국적_독일,국적_러시아,국적_미국,국적_스페인,국적_영국,국적_일본,국적_중국,국적_캐나다,국적_프랑스,국적_한국,장르_SF,장르_가족,장르_공연,장르_공포(호러),장르_기타,장르_다큐멘터리,장르_드라마,장르_멜로/로맨스,장르_뮤지컬,장르_미스터리,장르_범죄,장르_사극,장르_서부극(웨스턴),장르_스릴러,장르_애니메이션,장르_액션,장르_어드벤처,장르_전쟁,장르_코미디,장르_판타지,등급_12세이상관람가,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,영화구분_독립/예술영화,영화구분_일반영화
13.180334859373998,13.86130759768387,12.641924490650961,1975.0,8177446.0,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
14.484712600209804,12.966876562017024,12.517059305430497,2142.0,8020208.0,2019,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
14.621975845554417,15.871868588630134,13.649189976357905,976.0,7817446.0,2017,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
15.489476389363986,15.3755773781237,13.649189976357905,1409.0,7784807.0,2011,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
15.702917860888409,15.128432375964616,13.649189976357905,1009.0,7759473.0,2015,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
13.111574799190645,13.308544929945047,13.649189976357905,1038.0,7575899.0,2011,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
14.484712600209804,12.966876562017024,12.517059305430497,2948.0,7551990.0,2021,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
15.489476389363986,15.831173423084849,13.688478568581989,1129.0,7505700.0,2009,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
13.712967646166625,15.828751664959592,12.913700333065652,1444.0,7487545.0,2016,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
14.306189806853956,15.826000789793461,12.99726582652586,615.0,7466976.0,2011,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
15.284012587354992,15.807325215086736,13.649189976357905,472.0,7328820.0,2011,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
14.306189806853956,12.886638298776377,12.641924490650961,2223.0,7264934.0,2022,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
14.484712600209804,12.966876562017024,12.517059305430497,1965.0,7257973.0,2017,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
15.240800803272517,15.793976262772855,13.649189976357905,1299.0,7231638.0,2017,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
15.196866081094768,15.784886086030555,13.649189976357905,894.0,7166199.0,2013,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
15.782698715993002,14.920126999484303,13.649189976357905,1501.0,7150541.0,2016,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
14.621975845554417,15.778220651500712,14.009295195168697,1105.0,7118592.0,2016,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
14.677490413230421,15.16071009677873,14.009295195168697,1075.0,7071763.0,2015,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
13.66992643513266,13.358170588992376,13.649189976357905,1049.0,7049643.0,2016,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
15.702917860888409,15.263749532761022,13.649189976357905,2389.0,6979319.0,2022,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
14.86710227453495,13.80575753095187,14.009295195168697,1158.0,6965706.0,2016,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
13.014570303740177,12.035202094925182,14.009295195168697,1341.0,6953800.0,2013,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
15.257366385582197,15.743876997874187,13.488042248580452,1485.0,6878264.0,2016,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
14.82207331383362,15.73994868133872,15.73994868133872,1315.0,6851297.0,2017,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
13.712967646166625,15.715662890632952,13.688478568581989,825.0,6686912.0,2008,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
14.27189179770876,13.86487730616099,13.649189976357905,706.0,6654837.0,2012,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
15.196866081094768,15.715214899407409,13.649189976357905,2027.0,6592151.0,2017,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
14.966876546177133,13.308544929945047,12.641924490650961,1957.0,6584915.0,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
15.42859091614362,13.464043830879294,12.913700333065652,1210.0,6396528.0,2012,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
13.81113894970435,13.432378393314263,13.688478568581989,478.0,6282774.0,2010,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
14.195458564935391,14.998794031283374,14.009295195168697,1210.0,6246849.0,2015,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
15.653223736507236,14.920126999484303,13.688478568581989,606.0,6136928.0,2009,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
14.966876546177133,13.423826424869404,12.99726582652586,1202.0,6126488.0,2015,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
14.314945707534509,14.290025959854725,13.488042248580452,706.0,6125154.0,2015,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
15.614487088110378,15.614487088110378,13.049009884547225,1013.0,6043458.0,2015,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
15.42859091614362,15.595020136042555,15.595020136042555,528.0,5926948.0,2010,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
13.62924352754339,15.240149906896237,13.42753244969561,2691.0,5884587.0,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
13.42468169830961,11.86849454481459,12.329012534453339,1972.0,5661128.0,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
12.665856272804707,15.544731282945175,12.99726582652586,1102.0,5636259.0,2017,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
14.810278404069454,14.810278404069454,13.049009884547225,779.0,5602543.0,2013,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
14.20920051374789,15.537125063730782,12.99726582652586,964.0,5593551.0,2016,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
14.932302524865989,13.790309769870937,12.99726582652586,743.0,5583596.0,2013,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
15.193456556267712,13.464043830879294,12.329012534453339,1290.0,5546792.0,2015,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
15.202425485646078,15.521549997872459,14.009295195168697,572.0,5507106.0,2010,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
15.519630816792906,14.920126999484303,13.049009884547225,949.0,5496547.0,2013,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
13.823342252696671,14.8675148698658,13.382487753513459,789.0,5462953.0,2009,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
14.882571485821439,15.240149906896237,13.42753244969561,1775.0,5447826.0,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
15.099761394840652,14.920126999484303,13.649189976357905,1088.0,5440945.0,2015,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
14.327882652242637,15.509323993241319,13.049009884547225,1540.0,5440186.0,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
15.347933810360999,15.486293021239003,13.049009884547225,1310.0,5316325.0,2017,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
14.599980915502114,15.48519862210963,13.649189976357905,500.0,5310510.0,2011,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
15.489476389363986,15.3755773781237,13.649189976357905,1602.0,5295801.0,2014,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
15.322772005576077,15.48210732868267,12.641924490650961,1313.0,5294119.0,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
13.187344148259736,15.471359807400686,12.99726582652586,964.0,5237525.0,2013,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
14.405086633534141,15.460511540986712,13.649189976357905,617.0,5181014.0,2012,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
15.257366385582197,13.86487730616099,14.009295195168697,435.0,5071619.0,2008,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
13.133502174873518,15.437592397983229,13.049009884547225,1357.0,5063620.0,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
15.437415038809503,13.916201249370442,13.649189976357905,948.0,5062722.0,2011,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
14.915151916067483,15.4222413521652,13.649189976357905,1317.0,4971261.0,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
14.314945707534509,14.290025959854725,13.488042248580452,1687.0,4945484.0,2017,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
14.384402758628067,15.404246046406538,13.049009884547225,694.0,4897551.0,2012,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
13.93932352922073,15.240149906896237,13.42753244969561,1640.0,4857152.0,2017,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
15.384408935982508,15.384408935982508,15.384408935982508,206.0,4801355.0,2014,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
15.083870632898496,14.984926655240894,14.009295195168697,611.0,4786259.0,2011,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
14.99345181697798,15.37984691493968,14.009295195168697,1476.0,4779501.0,2019,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
14.915151916067483,15.378882751555066,14.009295195168697,1394.0,4774895.0,2014,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
14.677490413230421,13.775910235865101,14.009295195168697,1659.0,4750104.0,2020,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
13.769066972425849,13.774938706163994,13.42753244969561,1936.0,4743184.0,2019,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
14.915151916067483,15.365295064299232,14.009295195168697,699.0,4710454.0,2012,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
15.36376346659728,13.774938706163994,13.628620936206993,661.0,4703245.0,2016,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
14.06463883950566,15.35934121837134,13.049009884547225,671.0,4682492.0,2013,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
15.357313961633194,13.916201249370442,13.688478568581989,351.0,4673009.0,2008,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
15.495762679226203,14.858283186680884,13.649189976357905,644.0,4662822.0,2011,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
13.197778015516946,15.341258987984192,13.049009884547225,563.0,4598583.0,2012,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
