영화명,감독,제작사,배급사,개봉일,국적,전국 스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
더 수어사이드 스쿼드,제임스 건,DC 필름스,워너브러더스 코리아(주),2021-08,미국,1066.0,4382670930.0,418281.0,액션,청소년관람불가,일반영화
온워드: 단 하루의 기적,댄 스캔론,월트 디즈니 픽처스,월트디즈니컴퍼니코리아 유한책임회사,2020-06,미국,1138.0,3581335060.0,416739.0,애니메이션,전체관람가,일반영화
니 부모 얼굴이 보고 싶다,김지훈,(주)더타워픽쳐스이십세기폭스 인터내셔널 프로덕션(주)리버픽쳐스,(주)마인드마크,2022-04,한국,1008.0,3948625280.0,416374.0,드라마,15세이상관람가,일반영화
흥부: 글로 세상을 바꾼 자,조근현,(주)영화사 궁(주)발렌타인필름,롯데쇼핑㈜롯데엔터테인먼트,2018-02,한국,627.0,3381050200.0,416303.0,사극,12세이상관람가,일반영화
놉,조던 필,,유니버설픽쳐스인터내셔널 코리아(유),2022-08,미국,1031.0,4709541135.0,415969.0,미스터리,12세이상관람가,일반영화
무뢰한,오승욱,(주)사나이픽처스,CGV아트하우스,2015-05,한국,482.0,3262087431.0,414626.0,멜로/로맨스,청소년관람불가,일반영화
늑대소년-확장판,조성희,(주)영화사비단길,(주)씨제이이엔엠,2012-12,한국,278.0,2868302500.0,414083.0,멜로/로맨스,15세이상관람가,일반영화
서치 2,니콜라스 D 존슨윌 메릭,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023-02,미국,868.0,4074535196.0,413609.0,미스터리,12세이상관람가,일반영화
해피 데스데이 2 유,크리스토퍼 랜던,블룸하우스 프로덕션스,유니버설픽쳐스인터내셔널 코리아(유),2019-02,미국,657.0,3437809200.0,412850.0,공포(호러),15세이상관람가,일반영화
킹 아서: 제왕의 검,가이 리치,빌리지 로드쇼 픽처스,워너브러더스 코리아(주),2017-05,영국,588.0,3348220655.0,412843.0,판타지,12세이상관람가,일반영화
리멤버,이일형,(주)영화사 월광,(주)에이스메이커무비웍스,2022-10,한국,1189.0,3970165717.0,412836.0,드라마,15세이상관람가,일반영화
주온 : 끝의 시작,오치아이 마사유키,,(주)넥스트엔터테인먼트월드(NEW),2014-07,일본,394.0,3071127231.0,410644.0,공포(호러),15세이상관람가,일반영화
극장판 공룡메카드: 타이니소어의 섬,최신규유재운,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),2019-01,한국,763.0,3140214420.0,410131.0,애니메이션,전체관람가,일반영화
러빙 빈센트,도로타 코비엘라휴 웰치맨,[1],(주)스튜디오디에이치엘판씨네마(주),2017-11,영국,272.0,3252392261.0,408322.0,애니메이션,15세이상관람가,독립/예술영화
넛잡 2,캘런 브런커,(주)레드로버툰박스 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-10,한국,526.0,3038945100.0,407727.0,애니메이션,전체관람가,일반영화
니코: 산타비행단의 모험,캐리 주스넌요르겐 레르담,,씨너스엔터테인먼트(주),2012-12,기타,306.0,2786834000.0,407264.0,애니메이션,전체관람가,일반영화
나의 소녀시대,프랭키 첸,,오드,2016-05,기타,176.0,3292020500.0,406284.0,멜로/로맨스,15세이상관람가,독립/예술영화
섹스 앤 더 시티 2,마이클 패트릭 킹,뉴라인 시네마HBO필름,워너브러더스 코리아(주),2010-06,미국,238.0,3074026799.0,405580.0,드라마,청소년관람불가,일반영화
좋은 친구들,이도윤,오퍼스픽쳐스(유)굿초이스컷픽쳐스(주),(주)씨제이이엔엠,2014-07,한국,371.0,3201527031.0,404456.0,범죄,청소년관람불가,일반영화
소리도 없이,홍의정,(주)루이스 픽쳐스(주)브로콜리픽쳐스,(주)에이스메이커무비웍스,2020-10,한국,1084.0,3558023900.0,403326.0,범죄,15세이상관람가,일반영화
아메리칸 메이드,더그 라이만,이매진 엔터테인먼트,유니버설픽쳐스인터내셔널 코리아(유),2017-09,미국,691.0,3175539145.0,401541.0,범죄,15세이상관람가,일반영화
아스트로 보이-아톰의 귀환,데이빗 보워스,이미지애니메이션스튜디오,㈜케이디미디어,2010-01,미국,285.0,2640270821.0,401477.0,애니메이션,전체관람가,일반영화
버즈 오브 프레이(할리 퀸의 황홀한 해방),캐시 얀,DC 필름스,워너브러더스 코리아(주),2020-02,미국,963.0,3548999190.0,401411.0,액션,15세이상관람가,일반영화
닌자터틀,조나단 리브스만,니켈로디언 무비스,(주)씨제이이엔엠,2014-08,미국,479.0,3321120147.0,400329.0,액션,12세이상관람가,일반영화
판타스틱 4,조쉬 트랭크,,이십세기폭스코리아(주),2015-08,미국,451.0,3029310600.0,399667.0,액션,12세이상관람가,일반영화
스위치,마대윤,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,2023-01,한국,912.0,3793864810.0,399164.0,기타,12세이상관람가,일반영화
비와 당신의 이야기,조진모,(주)아지트필름,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점(주)키다리이엔티,2021-04,한국,957.0,3634766350.0,398580.0,드라마,전체관람가,일반영화
익스펜더블,실베스터 스탤론,밀레니엄 필름즈,(주)싸이더스,2010-08,미국,256.0,3025538174.0,398097.0,스릴러,청소년관람불가,일반영화
뜨거운 피,천명관,주식회사 고래픽처스,(주)스튜디오디에이치엘(주)키다리스튜디오,2022-03,한국,1279.0,3782750970.0,398090.0,범죄,15세이상관람가,일반영화
사랑이 무서워,정우철,(주)위픽쳐스(주)디씨지플러스,롯데쇼핑㈜롯데엔터테인먼트,2011-03,한국,290.0,2992783000.0,397923.0,코미디,15세이상관람가,일반영화
몬스터 패밀리,호거 태프,,(주)키다리이엔티,2017-12,독일,617.0,2941183700.0,397633.0,애니메이션,전체관람가,일반영화
명탐정 코난 : 이차원의 저격수,시즈노 코분,TMS 엔터테인먼트,(주)씨제이이엔엠,2014-08,일본,299.0,2757396000.0,397381.0,애니메이션,12세이상관람가,일반영화
집행자,최진호,활동사진(주)스폰지이엔티(주)발콘,(주)스폰지이엔티실버스푼,2009-11,한국,264.0,2961477652.0,395865.0,드라마,청소년관람불가,독립/예술영화
명탐정 코난 : 제로의 집행인,타치카와 유즈루,TMS 엔터테인먼트,(주)씨제이이엔엠,2018-08,일본,542.0,3007522361.0,395408.0,애니메이션,12세이상관람가,일반영화
카운트,권혁재,(주)필름케이(주)26컴퍼니,(주)씨제이이엔엠,2023-02,한국,946.0,3753641091.0,394393.0,드라마,12세이상관람가,일반영화
헬보이 2 : 골든 아미,길예르모 델 토로,,유니버설픽쳐스인터내셔널 코리아(유),2008-09,미국,279.0,2522851500.0,391513.0,SF,12세이상관람가,일반영화
멋진 하루,이윤기,(주)스폰지이엔티(주)영화사봄,롯데쇼핑㈜롯데엔터테인먼트,2008-09,한국,299.0,2554838451.0,390741.0,드라마,12세이상관람가,독립/예술영화
배드 가이즈,피에르 페리펠,드림웍스 애니메이션,유니버설픽쳐스인터내셔널 코리아(유),2022-05,미국,844.0,3680403970.0,390455.0,애니메이션,전체관람가,일반영화
명탐정 코난 : 수평선상의 음모,야마모토 야스이치로,,(주)씨제이이엔엠,2013-08,일본,316.0,2460173000.0,389253.0,애니메이션,12세이상관람가,일반영화
피터 래빗,윌 글럭,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-05,미국,599.0,3006258100.0,388300.0,애니메이션,전체관람가,일반영화
론 레인저,고어 버빈스키,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-07,미국,401.0,2750149500.0,387527.0,액션,15세이상관람가,일반영화
내 심장을 쏴라,문제용,(주)주피터필름,(주)리틀빅픽쳐스(주)이수C&E,2015-01,한국,452.0,2856859132.0,387409.0,드라마,15세이상관람가,일반영화
제미니 맨,이안,스카이댄스 미디어,롯데컬처웍스(주)롯데엔터테인먼트,2019-10,미국,845.0,3295969230.0,387342.0,액션,12세이상관람가,일반영화
나의 독재자,이해준,반짝반짝영화사(주),롯데쇼핑㈜롯데엔터테인먼트,2014-10,한국,654.0,2906692546.0,385934.0,드라마,15세이상관람가,일반영화
명장,진가신,,롯데쇼핑㈜롯데엔터테인먼트미디어소프트,2008-01,중국,236.0,2559950500.0,385841.0,액션,청소년관람불가,일반영화
천재 강아지 미스터 피바디,롭 민코프,드림웍스 애니메이션,(주)씨제이이엔엠,2014-04,미국,533.0,2859791400.0,385552.0,애니메이션,전체관람가,일반영화
서복,이용주,(주)씨제이이엔엠(주)티피에스컴퍼니,(주)씨제이이엔엠,2021-04,한국,1382.0,3627302450.0,385284.0,드라마,15세이상관람가,일반영화
킬러의 보디가드 2,패트릭 휴즈,서밋 엔터테인먼트,TCO(주)더콘텐츠온(주)제이앤씨미디어그룹,2021-06,미국,975.0,3769396180.0,384997.0,액션,청소년관람불가,일반영화
언더 워터,자움 콜렛 세라,,유니버설픽쳐스인터내셔널 코리아(유),2016-07,미국,518.0,3111772391.0,384789.0,공포(호러),15세이상관람가,일반영화
크로니클,조쉬 트랭크,,이십세기폭스코리아(주),2012-03,미국,324.0,2881024000.0,383862.0,액션,15세이상관람가,일반영화
보통사람,김봉한,(주)트리니티엔터테인먼트(주)영화사장춘,오퍼스픽쳐스(유),2017-03,한국,621.0,2956397623.0,383336.0,드라마,15세이상관람가,일반영화
소수의견,김성제,(주)하리마오픽쳐스,(주)시네마서비스,2015-06,한국,398.0,2891431205.0,383332.0,드라마,15세이상관람가,일반영화
트론: 새로운 시작,조셉 코신스키,라이브플래닛,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-12,미국,379.0,4258700247.0,382607.0,SF,12세이상관람가,일반영화
내 이름은 칸,카란 조하르,,필라멘트픽쳐스,2011-03,기타,84.0,2820922500.0,381243.0,드라마,12세이상관람가,독립/예술영화
대장 김창수,이원태,(주)비에이엔터테인먼트(주)무비스퀘어,(주)키다리이엔티주식회사 키위컴퍼니,2017-10,한국,748.0,2871905115.0,380581.0,드라마,12세이상관람가,일반영화
스토커,박찬욱,,이십세기폭스코리아(주),2013-02,미국,329.0,2828301674.0,378729.0,드라마,청소년관람불가,일반영화
공자 춘추전국시대,후메이,베이징 다디 센츄리,(주)시너지하우스 (시너지),2010-02,중국,243.0,2819298799.0,377801.0,드라마,12세이상관람가,일반영화
프롬 파리 위드 러브,피에르 모렐,유로파 Corp.,㈜케이디미디어,2010-03,프랑스,300.0,2850441248.0,375573.0,액션,청소년관람불가,일반영화
컨트롤러,조지 놀피,,유니버설픽쳐스인터내셔널 코리아(유),2011-03,미국,371.0,2862234500.0,373344.0,스릴러,12세이상관람가,일반영화
루카,엔리코 카사로사,,월트디즈니컴퍼니코리아 유한책임회사,2021-06,미국,856.0,3393832110.0,371572.0,애니메이션,전체관람가,일반영화
눈의 여왕 3: 눈과 불의 마법대결,알렉세이 트시칠린,위저트 애니메이션,(주)이수C&E,2017-01,러시아,526.0,2694247700.0,366442.0,애니메이션,전체관람가,독립/예술영화
극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,유야마 쿠니히코,이스트저팬마케팅앤커뮤니케이션,씨제이 씨지브이(CJ CGV)(주),2010-12,일본,140.0,2557477869.0,366277.0,애니메이션,전체관람가,일반영화
문프린세스 : 문에이커의 비밀,가버 추보,,(주)성원아이컴,2009-02,영국,262.0,2260376662.0,365525.0,어드벤처,전체관람가,일반영화
에브리씽 에브리웨어 올 앳 원스,다니엘 콴다니엘 쉐이너트,AGBO,워터홀컴퍼니(주),2022-10,미국,620.0,3864328829.0,364668.0,액션,15세이상관람가,독립/예술영화
그레이의 50가지 그림자,샘 테일러-존슨,,유니버설픽쳐스인터내셔널 코리아(유),2015-02,미국,512.0,2918598796.0,364415.0,드라마,청소년관람불가,일반영화
파라노말 액티비티 2,서동욱토드 윌리엄스,파라마운트 픽쳐스,CJ ENM,2010-10,미국,177.0,2616761211.0,364251.0,공포(호러),12세이상관람가,독립/예술영화
레드 라이딩 후드,캐서린 하드윅,애피언 웨이 프로덕션,워너브러더스 코리아(주),2011-03,미국,249.0,2728562500.0,362572.0,드라마,15세이상관람가,일반영화
펠햄 123,토니 스콧,렐러티비티 미디어,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-06,미국,241.0,2415075136.0,360661.0,액션,15세이상관람가,일반영화
홈,팀 존슨,,(주)씨제이이엔엠,2015-05,미국,532.0,2692225691.0,360556.0,애니메이션,전체관람가,일반영화
블라인드 사이드,존 리 행콕,워너 브러더스 픽쳐스,워너브러더스 코리아(주),2010-04,미국,132.0,2643699147.0,359899.0,드라마,12세이상관람가,독립/예술영화
극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,유야마 쿠니히코,,(주)씨제이이엔엠,2011-12,일본,237.0,2382820000.0,359663.0,애니메이션,전체관람가,일반영화
상견니,황천인,,오드리바이브콘텐츠 주식회사씨제이 씨지브이(CJ CGV)(주),2023-01,기타,699.0,3585930938.0,359263.0,드라마,15세이상관람가,일반영화
고질라: 킹 오브 몬스터,마이클 도허티,레전더리 픽처스,워너브러더스 코리아(주),2019-05,미국,923.0,3085036318.0,359041.0,액션,12세이상관람가,일반영화
크리스마스 캐롤,로버트 저메키스,월트 디즈니 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11,미국,173.0,2703851150.0,358286.0,애니메이션,전체관람가,일반영화
데스노트 L: 새로운 시작,나카타 히데오,,(주)엔케이컨텐츠(유)씨에이치엔터테인먼트,2008-02,일본,243.0,2174665500.0,358046.0,스릴러,15세이상관람가,일반영화
클로버필드 10번지,댄 트라첸버그,배드 로봇 프로덕션스,롯데쇼핑㈜롯데엔터테인먼트,2016-04,미국,575.0,2922834655.0,356976.0,미스터리,15세이상관람가,일반영화
경성학교: 사라진 소녀들,이해영,청년필름(주)비밀의화원,롯데쇼핑㈜롯데엔터테인먼트,2015-06,한국,489.0,2749027700.0,356342.0,미스터리,15세이상관람가,일반영화
어쌔신 크리드,저스틴 커젤,,이십세기폭스코리아(주),2017-01,미국,566.0,2899784921.0,355913.0,액션,15세이상관람가,일반영화
플립,롭 라이너,,(주)팝엔터테인먼트,2017-07,미국,249.0,2818791900.0,354601.0,드라마,12세이상관람가,일반영화
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,타카하시 와타루,,(주)씨제이이엔엠,2018-12,일본,489.0,2735399650.0,353012.0,애니메이션,전체관람가,일반영화
석조저택 살인사건,정식김휘,주식회사 영화사다,(주)키다리이엔티,2017-05,한국,539.0,2815742886.0,351830.0,스릴러,15세이상관람가,일반영화
커플즈,정용기,시오필름(주)(주)바른손이앤에이,(주)싸이더스,2011-11,한국,387.0,2646578500.0,351779.0,멜로/로맨스,15세이상관람가,일반영화
미드나잇 인 파리,우디 알렌,소니 픽처스 클래식스,(주)디스테이션(주)드림팩트엔터테인먼트(주)나이너스엔터테인먼트,2012-07,미국,189.0,2607349898.0,351555.0,코미디,15세이상관람가,독립/예술영화
싱글라이더,이주영,(주)퍼펙트스톰필름,워너브러더스 코리아(주),2017-02,한국,576.0,2685519021.0,351276.0,드라마,15세이상관람가,일반영화
오! 문희,정세교,(주)빅스톤픽쳐스,CGV아트하우스,2020-09,한국,1110.0,2798758600.0,351162.0,코미디,12세이상관람가,일반영화
그녀,스파이크 존즈,,주식회사 더쿱유니버설픽쳐스인터내셔널 코리아(유),2014-05,미국,168.0,2861230000.0,351091.0,드라마,15세이상관람가,독립/예술영화
오즈 그레이트 앤드 파워풀,샘 레이미,월트 디즈니 픽처스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-03,미국,425.0,2886185000.0,350563.0,판타지,전체관람가,일반영화
극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,유야마 쿠니히코,,(주)씨제이이엔엠,2012-12,일본,275.0,1357449750.0,348883.0,애니메이션,전체관람가,일반영화
해프닝,M. 나이트 샤말란,,이십세기폭스코리아(주),2008-06,미국,244.0,2366614500.0,348772.0,SF,청소년관람불가,일반영화
7호실,이용승,(주)명필름,롯데쇼핑㈜롯데엔터테인먼트,2017-11,한국,629.0,2677284639.0,347790.0,코미디,15세이상관람가,일반영화
치외법권,신동엽,(주)유니프로(주)스톰픽쳐스코리아,판씨네마(주),2015-08,한국,446.0,2664941005.0,346483.0,액션,15세이상관람가,일반영화
짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,시기노 아키라,신에이 동화,(주)씨제이이엔엠,2011-05,일본,306.0,2319696500.0,346441.0,애니메이션,전체관람가,일반영화
탄생,박흥식,민영화사가톨릭문화원 ALMA ART,씨제이 씨지브이(CJ CGV)(주)(주)레드아이스 엔터테인먼트,2022-11,한국,670.0,3115921037.0,345844.0,드라마,12세이상관람가,일반영화
덤보,팀 버튼,,월트디즈니컴퍼니코리아 유한책임회사,2019-03,미국,797.0,2775096512.0,345521.0,가족,전체관람가,일반영화
링컨: 뱀파이어 헌터,티무르 베크맘베토브,,이십세기폭스코리아(주),2012-08,미국,337.0,2750911500.0,344876.0,액션,청소년관람불가,일반영화
아메리칸 스나이퍼,클린트 이스트우드,빌리지 로드쇼 픽처스,워너브러더스 코리아(주),2015-01,미국,308.0,2800001438.0,344766.0,액션,청소년관람불가,일반영화
버즈 라이트이어,앵거스 맥클레인,,월트디즈니컴퍼니코리아 유한책임회사,2022-06,미국,844.0,3509742460.0,344438.0,애니메이션,전체관람가,일반영화
포켓 몬스터 DP: 아르세우스 초극의 시공으로,유야마 쿠니히코,,(주)넥스트엔터테인먼트월드(NEW)실버스푼,2009-12,일본,79.0,2276651793.0,343268.0,애니메이션,전체관람가,일반영화
러브 유어셀프 인 서울,,빅히트 엔터테인먼트씨제이 씨지브이(CJ CGV)(주),씨제이 씨지브이(CJ CGV)(주),2019-01,한국,224.0,3209682900.0,342366.0,공연,전체관람가,일반영화
숲속으로,롭 마샬,월트 디즈니 픽처스,월트디즈니컴퍼니코리아(주),2014-12,미국,356.0,2596533288.0,341882.0,뮤지컬,전체관람가,일반영화
자산어보,이준익,(주)씨네월드,플러스엠 엔터테인먼트,2021-03,한국,1250.0,3006620490.0,340574.0,사극,12세이상관람가,일반영화
하이힐,장진,(주)장차앤코,롯데쇼핑㈜롯데엔터테인먼트,2014-06,한국,385.0,2735972500.0,339844.0,범죄,청소년관람불가,일반영화
음치 클리닉,김진영,(주)전망좋은 영화사,롯데쇼핑㈜롯데엔터테인먼트,2012-11,한국,360.0,2248238000.0,338168.0,멜로/로맨스,12세이상관람가,일반영화
맨발의 꿈,김태균,(주)캠프비(주)쇼박스,(주)쇼박스,2010-06,한국,333.0,2413427097.0,338080.0,드라마,전체관람가,일반영화
허스토리,민규동,(주)수필름,(주)넥스트엔터테인먼트월드(NEW),2018-06,한국,696.0,2521025949.0,336822.0,드라마,12세이상관람가,일반영화
바스터즈: 거친 녀석들,쿠엔틴 타란티노,더 웨인스테인 컴퍼니,유니버설픽쳐스인터내셔널 코리아(유),2009-10,미국,257.0,2547650425.0,336312.0,액션,청소년관람불가,일반영화
브링 더 소울 : 더 무비,박준수,빅히트 엔터테인먼트(주)캠프엔터테인먼트,CGV ICECON월트디즈니컴퍼니코리아 유한책임회사,2019-08,한국,569.0,2902500310.0,336074.0,기타,전체관람가,일반영화
패딩턴 2,폴 킹,헤이데이 필름스,(주)이수C&E,2018-02,프랑스,629.0,2527056200.0,335906.0,코미디,전체관람가,독립/예술영화
늑대아이,호소다 마모루,매드하우스,(주)미디어데이,2012-09,일본,226.0,2310113761.0,335706.0,애니메이션,전체관람가,독립/예술영화
내 사랑,에이슬링 월쉬,,오드,2017-07,기타,233.0,2442554625.0,334423.0,드라마,12세이상관람가,독립/예술영화
미나문방구,정익환,(주)별의별,롯데쇼핑㈜롯데엔터테인먼트,2013-05,한국,385.0,2247017000.0,334323.0,드라마,전체관람가,일반영화
그대가 조국,이승준,(주)켈빈클레인프로젝트,(주)엣나인필름,2022-05,한국,601.0,3109424870.0,333541.0,다큐멘터리,12세이상관람가,독립/예술영화
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,하시모토 마사카즈,신에이 동화,(주)씨제이이엔엠,2017-07,일본,547.0,2417712700.0,333082.0,애니메이션,전체관람가,일반영화
내일의 기억,서유민,(주)아이필름코퍼레이션(주)토리픽쳐스,(주)아이필름코퍼레이션씨제이 씨지브이(CJ CGV)(주),2021-04,한국,957.0,3026073660.0,332993.0,미스터리,15세이상관람가,일반영화
남영동1985,정지영,(주)아우라픽처스,씨너스엔터테인먼트(주)(주)엣나인필름,2012-11,한국,310.0,2358629601.0,332619.0,드라마,15세이상관람가,독립/예술영화
에베레스트,발타자르 코루마쿠르,,유니버설픽쳐스인터내셔널 코리아(유),2015-09,미국,331.0,3055119748.0,332180.0,어드벤처,12세이상관람가,일반영화
위자: 저주의 시작,마이크 플래너건,올스파크 픽처스,유니버설픽쳐스인터내셔널 코리아(유),2016-11,미국,467.0,2637517406.0,331877.0,공포(호러),12세이상관람가,일반영화
무서운 이야기,정범식임대웅홍지영김곡김선민규동,(주)수필름데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-07,한국,274.0,2452368566.0,331760.0,공포(호러),청소년관람불가,일반영화
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,타카하시 시게하루,OLM TEAM KOITABASHI & INOUE,(주)씨제이이엔엠,2016-07,일본,403.0,2466913080.0,330665.0,애니메이션,전체관람가,일반영화
킬러스,로버트 루게틱,카탈스트 필름라이온스 게이트 필름즈,(주)넥스트엔터테인먼트월드(NEW),2010-09,미국,280.0,2428979292.0,329086.0,액션,15세이상관람가,일반영화
선 오브 갓,크리스토퍼 스펜서,라이트워커스 미디어,(주)프레인글로벌,2014-04,미국,419.0,2392109800.0,329029.0,드라마,12세이상관람가,일반영화
프로포즈,앤 플레쳐,터치스톤 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-09,미국,174.0,2481694139.0,328767.0,멜로/로맨스,15세이상관람가,일반영화
링컨 차를 타는 변호사,브래드 퍼맨,,씨너스엔터테인먼트(주),2011-06,미국,241.0,2443603500.0,327612.0,범죄,15세이상관람가,일반영화
잭 라이언 : 코드네임 쉐도우,케네스 브래너,스카이댄스 미디어,(주)씨제이이엔엠,2014-01,미국,419.0,2395409500.0,327591.0,액션,12세이상관람가,일반영화
미드나잇 선,스콧 스피어,,(주)삼백상회(주)키다리이엔티,2018-06,미국,472.0,2679300500.0,326086.0,멜로/로맨스,12세이상관람가,독립/예술영화
그린랜드,릭 로먼 워,,(주)제이앤씨미디어그룹TCO(주)더콘텐츠온,2020-09,미국,779.0,2777724520.0,325869.0,액션,12세이상관람가,일반영화
스폰지밥 3D,폴 티비트,니켈로디언 무비스,(주)씨제이이엔엠,2015-02,미국,357.0,2458946200.0,325016.0,애니메이션,전체관람가,일반영화
사랑하기 때문에,주지홍,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),2017-01,한국,542.0,2538169440.0,324420.0,코미디,12세이상관람가,일반영화
희생부활자,곽경택,(주)영화사 신세계(주)바른손이앤에이,(주)쇼박스,2017-10,한국,781.0,2515479835.0,323628.0,미스터리,15세이상관람가,일반영화
헬보이,닐 마샬,,플러스엠 엔터테인먼트,2019-04,미국,726.0,2776406321.0,323098.0,액션,청소년관람불가,일반영화
정승필 실종사건,강석범,화이트리시네마,롯데쇼핑㈜롯데엔터테인먼트,2009-10,한국,238.0,2321588076.0,322459.0,코미디,15세이상관람가,일반영화
아담스 패밀리,그렉 티어넌콘래드 베논,,유니버설픽쳐스인터내셔널 코리아(유),2019-11,미국,802.0,2565386140.0,321726.0,애니메이션,전체관람가,일반영화
옥자,봉준호,플랜 비 엔터테인먼트(주)루이스 픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2017-06,미국,111.0,2432883900.0,321550.0,어드벤처,12세이상관람가,일반영화
라야와 마지막 드래곤,돈 홀카를로스 로페즈 에스트라다,월트 디즈니 픽처스,월트디즈니컴퍼니코리아 유한책임회사,2021-03,미국,1056.0,2969004390.0,321484.0,애니메이션,전체관람가,일반영화
블레이드 러너 2049,드니 빌뇌브,앨콘 엔터테인먼트,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-10,미국,664.0,2760845365.0,321018.0,SF,15세이상관람가,일반영화
어글리 트루스,로버트 루게틱,레이크쇼어 엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-09,미국,185.0,2471953101.0,320997.0,코미디,청소년관람불가,일반영화
극적인 하룻밤,하기호,(주)연우무대(주)인사이드픽쳐스,CGV아트하우스,2015-12,한국,434.0,2610929429.0,320923.0,멜로/로맨스,청소년관람불가,일반영화
극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트 뮤츠의 각성,유야마 쿠니히코,쇼가쿠칸 슈에이샤 프로덕션,(주)씨제이이엔엠,2014-01,일본,406.0,2080468500.0,320409.0,애니메이션,전체관람가,일반영화
아기배달부 스토크,니콜라스 스톨러더그 스윗랜드,워너 애니메이션 그룹,워너브러더스 코리아(주),2016-12,미국,538.0,2415830200.0,320353.0,애니메이션,전체관람가,일반영화
뮨: 달의 요정,알렉상드르 헤보얀베노이트 필립폰,,(주)스마일이엔티씨네그루(주)다우기술,2015-09,프랑스,365.0,2331900700.0,319072.0,애니메이션,전체관람가,독립/예술영화
빅풋 주니어,제레미 드그루손벤 스타센,스튀디오카날,(주)이수C&E,2017-08,기타,437.0,2245548900.0,318737.0,애니메이션,전체관람가,일반영화
검우강호,오우삼,베이징,(주)에스비에스콘텐츠허브,2010-10,기타,343.0,2281559914.0,318157.0,액션,15세이상관람가,일반영화
도리화가,이종필,(주)영화사 담담(주)어바웃잇,(주)씨제이이엔엠,2015-11,한국,563.0,2246950339.0,317505.0,사극,12세이상관람가,일반영화
세상에서 가장 아름다운 이별,민규동,(주)수필름,(주)넥스트엔터테인먼트월드(NEW),2011-04,한국,340.0,2295897500.0,316788.0,드라마,15세이상관람가,일반영화
레드카펫,박범수,씨네주(유)(주)누리픽쳐스,(주)프레인글로벌,2014-10,한국,385.0,2404458580.0,316780.0,멜로/로맨스,15세이상관람가,일반영화
퍼펙트 겟어웨이,데이빗 토히,데이비스 엔터테인먼트 필름웍스,(주)시너지하우스 (시너지),2009-08,미국,226.0,2343962833.0,315888.0,스릴러,15세이상관람가,일반영화
P.S. 아이 러브 유,리차드 라그라브네스,,(주)쇼박스,2008-01,미국,196.0,2119345000.0,315863.0,멜로/로맨스,15세이상관람가,일반영화
극장판 도라에몽:진구의 마계대모험 7인의 마법사,테라모토 유키요,,대원미디어(주),2008-07,일본,83.0,1903393500.0,315809.0,애니메이션,전체관람가,일반영화
미녀와 야수,크리스토프 갱스,,(주)넥스트엔터테인먼트월드(NEW),2014-06,프랑스,387.0,2385847300.0,315348.0,판타지,전체관람가,일반영화
캐롤,토드 헤인즈,,CGV아트하우스,2016-02,미국,221.0,2608608616.0,315321.0,드라마,청소년관람불가,독립/예술영화
차이니즈 조디악,성룡,,롯데쇼핑㈜롯데엔터테인먼트,2013-02,중국,300.0,2211711500.0,315305.0,액션,12세이상관람가,일반영화
수퍼 소닉2,제프 파울러,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,2022-04,미국,1129.0,2848373410.0,315123.0,애니메이션,전체관람가,일반영화
번 더 스테이지: 더 무비,박준수,빅히트 엔터테인먼트(주)캠프엔터테인먼트,월트디즈니컴퍼니코리아 유한책임회사,2018-11,한국,243.0,2671391900.0,315010.0,기타,전체관람가,일반영화
마이 블랙 미니드레스,허인무,(주)토리픽쳐스,(주)씨제이이엔엠,2011-03,한국,325.0,2318884500.0,313953.0,드라마,15세이상관람가,일반영화
엘라의 모험 : 해피엔딩의 위기,폴 J. 볼거,뱅가드 애니메이션,(주)쇼박스,2008-01,독일,191.0,1791623000.0,312640.0,애니메이션,전체관람가,일반영화
