영화명,감독,제작사,배급사,개봉일,국적,전국 스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
램,발디마르 요한손,,오드,2021-12,기타,123.0,140091110.0,15095.0,공포(호러),15세이상관람가,독립/예술영화
런어웨이즈,플로리아 시지스몬디,리버 로드 엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2010-06,미국,76.0,111779483.0,15088.0,드라마,청소년관람불가,독립/예술영화
뷰티풀 라이,필리프 팔라도,,(주)씨제이이엔엠,2015-03,미국,91.0,112466200.0,15050.0,드라마,12세이상관람가,독립/예술영화
크리드2,스티븐 카플 주니어,,워너브러더스 코리아(주),2019-02,미국,298.0,122284190.0,15023.0,액션,12세이상관람가,일반영화
이케아 옷장에서 시작된 특별난 여행,켄 스콧,,(주)스마일이엔티,2019-07,프랑스,71.0,122340770.0,15019.0,드라마,12세이상관람가,독립/예술영화
틱 틱... 붐!,린-마누엘 미란다,,씨제이 씨지브이(CJ CGV)(주),2021-11,미국,108.0,141985100.0,15019.0,드라마,12세이상관람가,일반영화
프렌드 존,차야놉 분프라콥,,(주)디스테이션,2019-10,기타,104.0,118749200.0,14991.0,멜로/로맨스,12세이상관람가,독립/예술영화
캡틴 판타스틱,매트 로스,유니버설 스튜디오,(주)팝엔터테인먼트주식회사 더쿱,2016-11,미국,86.0,114188400.0,14976.0,드라마,15세이상관람가,독립/예술영화
버진 스노우,그렉 아라키,선댄스 영화제,(주)영화사오원,2014-12,프랑스,126.0,113076354.0,14964.0,미스터리,청소년관람불가,독립/예술영화
로즈,짐 쉐리단,,(주)박수엔터테인먼트,2017-04,기타,125.0,113253541.0,14955.0,멜로/로맨스,15세이상관람가,독립/예술영화
하나와 미소시루,아쿠네 토모아키,,(주)영화사 진진,2016-04,일본,104.0,112899538.0,14925.0,가족,전체관람가,독립/예술영화
십개월의 미래,남궁선,한국예술종합학교 산학협력단,그린나래미디어(주),2021-10,한국,158.0,105627180.0,14915.0,드라마,12세이상관람가,독립/예술영화
토이 가디언즈,신우황연,,(주)팝엔터테인먼트,2018-03,중국,136.0,114322000.0,14857.0,애니메이션,전체관람가,독립/예술영화
군산: 거위를 노래하다,장률,(주)률필름(주)백그림,(주)트리플픽쳐스,2018-11,한국,92.0,120752500.0,14848.0,드라마,15세이상관람가,독립/예술영화
카센타,하윤재,팔팔애비뉴(주),(주)트리플픽쳐스,2019-11,한국,138.0,112552000.0,14839.0,범죄,15세이상관람가,독립/예술영화
극장판 엉덩이 탐정: 텐텐마을의 수수께끼,시바타 히로키,토에이 애니메이션,(주)넥스트엔터테인먼트월드(NEW),2020-09,일본,157.0,109191540.0,14799.0,애니메이션,전체관람가,일반영화
나쁜놈은 죽는다,손호,(주)케이알씨지(유)조이앤시네마,TCO(주)더콘텐츠온(유)조이앤시네마,2016-02,중국,138.0,115698700.0,14767.0,코미디,15세이상관람가,일반영화
하늘을 나는 강아지 비포와 친구들,이도 엔젤,,(주)팝엔터테인먼트,2014-03,기타,142.0,99524400.0,14746.0,애니메이션,전체관람가,일반영화
데드폴,스테판 루조비츠키,,(주)에스비에스콘텐츠허브,2013-01,미국,82.0,101887000.0,14744.0,범죄,청소년관람불가,일반영화
빅 식,마이클 쇼월터,필름네이션 엔터테인먼트,(주)리틀빅픽쳐스,2018-07,미국,136.0,118693400.0,14697.0,멜로/로맨스,15세이상관람가,독립/예술영화
빅풋 주니어2: 패밀리가 떴다,벤 스타센제레미 드그루손,,(주)이수C&E,2021-01,기타,308.0,121766630.0,14697.0,애니메이션,전체관람가,일반영화
콜로설,나초 비갈론도,볼티지 픽처스,(주)드림팩트엔터테인먼트,2017-04,캐나다,305.0,114967100.0,14687.0,액션,12세이상관람가,독립/예술영화
아픈 만큼 사랑한다,임준현,KBS 미디어(주)드림팩트엔터테인먼트,(주)드림팩트엔터테인먼트,2019-04,한국,121.0,99333600.0,14682.0,다큐멘터리,전체관람가,독립/예술영화
시민 노무현,백재호,엠앤씨에프(주)영화사진,(주)삼백상회,2019-05,한국,174.0,116930250.0,14500.0,다큐멘터리,12세이상관람가,독립/예술영화
아사코,하마구치 류스케,C&I 엔터테인먼트,(주)이수C&E,2019-03,일본,167.0,124515619.0,14441.0,드라마,12세이상관람가,독립/예술영화
부활,구수환,(주)중헌홀딩스,(주)중헌홀딩스,2020-07,한국,83.0,112596500.0,14437.0,다큐멘터리,전체관람가,일반영화
갬빗,마이클 호프만,,(주)나이너스엔터테인먼트,2013-11,미국,94.0,95213128.0,14426.0,코미디,15세이상관람가,독립/예술영화
춘몽,장률,(주)률필름,(주)프레인글로벌(주)스톰픽쳐스코리아,2016-10,한국,96.0,114343700.0,14423.0,드라마,15세이상관람가,독립/예술영화
무수단,구모,골든타이드픽처스(주),오퍼스픽쳐스(유),2016-03,한국,228.0,112188400.0,14386.0,미스터리,15세이상관람가,일반영화
커넥트,제이콥 체이스,,(주)이수C&E,2021-01,미국,386.0,127565260.0,14374.0,공포(호러),15세이상관람가,독립/예술영화
리틀 보이,알레한드로 몬테베르드,,플러스엠 엔터테인먼트,2015-12,미국,143.0,100778300.0,14343.0,드라마,12세이상관람가,독립/예술영화
오토라는 남자,마크 포스터,컬럼비아 픽처스,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023-03,미국,371.0,128901133.0,14337.0,드라마,12세이상관람가,일반영화
터치 오브 라이트,장영치,,씨너스엔터테인먼트(주),2013-03,기타,128.0,94716000.0,14323.0,드라마,전체관람가,독립/예술영화
수영장으로 간 남자들,질 를르슈,,(주)엣나인필름,2019-07,프랑스,79.0,115372096.0,14285.0,코미디,15세이상관람가,독립/예술영화
마이 뉴욕 다이어리,필리프 팔라도,micro_scope,(주)영화사 진진,2021-12,캐나다,180.0,113072030.0,14275.0,드라마,12세이상관람가,독립/예술영화
유니콘 원정대: 비밀의 다이어리,카말 반살,,(주)팝엔터테인먼트,2018-06,기타,235.0,109649600.0,14261.0,애니메이션,전체관람가,독립/예술영화
라스트 홈,라민 바흐러니,하이드 파크 엔터테인먼트,(주)브리즈픽처스,2016-04,미국,163.0,109954000.0,14241.0,드라마,15세이상관람가,독립/예술영화
개구리왕국 2,펭 페이,,예지림엔터테인먼트,2017-03,중국,171.0,99741700.0,14236.0,애니메이션,전체관람가,독립/예술영화
하나와 앨리스: 살인사건,이와이 슌지,,(주)씨제이이엔엠,2015-05,일본,67.0,112007100.0,14226.0,애니메이션,12세이상관람가,독립/예술영화
양지의 그녀,미키 타카히로,도호,(주)영화사오원,2019-03,일본,134.0,123216580.0,14224.0,멜로/로맨스,12세이상관람가,독립/예술영화
피는 물보다 진하다,김희성,(주)도어이앤엠,(주)이놀미디어,2022-05,한국,78.0,90700500.0,14201.0,액션,15세이상관람가,일반영화
아티스트 봉만대,봉만대,골든타이드픽처스(주),씨너스엔터테인먼트(주),2013-08,한국,131.0,93817000.0,14188.0,코미디,청소년관람불가,일반영화
아노말리사,찰리 카우프만듀크 존슨,파라마운트 픽처스,롯데쇼핑㈜롯데엔터테인먼트,2016-03,미국,93.0,115387000.0,14153.0,애니메이션,청소년관람불가,독립/예술영화
해피 어게인,커트 보엘커,,(주)엣나인필름,2018-03,미국,98.0,104133900.0,14134.0,드라마,15세이상관람가,독립/예술영화
그레이시 스토리,데이비스 구겐하임,픽처하우스,(주)미로비젼,2008-03,미국,90.0,85848000.0,14043.0,드라마,12세이상관람가,일반영화
청춘적니,샤모,,(주)다자인소프트,2022-01,중국,112.0,116128670.0,14012.0,멜로/로맨스,12세이상관람가,독립/예술영화
벨파스트,케네스 브래너,,유니버설픽쳐스인터내셔널 코리아(유),2022-03,미국,272.0,127992070.0,14002.0,드라마,12세이상관람가,독립/예술영화
체크 히어로,앤더스 마테센토르비욘 크리스토퍼센,,예지림엔터테인먼트,2019-10,기타,221.0,101176750.0,13951.0,애니메이션,전체관람가,독립/예술영화
뷰티풀 보이,펠릭스 반 그뢰닝엔,,(주)이수C&E,2019-09,미국,130.0,110353198.0,13906.0,드라마,15세이상관람가,독립/예술영화
호스트: 접속금지,롭 새비지,,(주)넥스트엔터테인먼트월드(NEW),2021-07,영국,148.0,128187100.0,13866.0,공포(호러),15세이상관람가,독립/예술영화
프로즌 그라운드,스콧 워커,그린스톤픽처스에멋 플라 필름,(주)박수엔터테인먼트,2014-02,미국,88.0,103660500.0,13853.0,스릴러,청소년관람불가,일반영화
호비와 엄마나무섬의 비밀,히라바야시 이사무,,(주)머스트씨무비릴리징컴퍼니,2015-07,일본,74.0,94353500.0,13802.0,애니메이션,전체관람가,독립/예술영화
산이 울다,래리 양,,(주)팝엔터테인먼트,2016-05,중국,107.0,104827700.0,13791.0,드라마,15세이상관람가,독립/예술영화
헤이츠,마크 톤데라이,,(주)나이너스엔터테인먼트,2012-12,미국,75.0,94348000.0,13747.0,스릴러,15세이상관람가,일반영화
웨이 다운,하우메 발라게로,텔레신코 시네마,(주)누리픽쳐스,2021-03,스페인,309.0,120956030.0,13743.0,액션,15세이상관람가,일반영화
너와 사랑한 시간,황진진,,오드,2022-11,기타,92.0,94305800.0,13722.0,멜로/로맨스,12세이상관람가,일반영화
가나의 혼인잔치: 언약,브렌트 밀러 주니어,,(재)CBS주식회사 블루필름웍스,2020-11,미국,116.0,120357330.0,13712.0,다큐멘터리,전체관람가,일반영화
꼬마비행기 피티와 친구들:사막구출 대작전,루카스 퀴아오,,와이드 릴리즈(주),2018-11,중국,212.0,95151000.0,13710.0,애니메이션,전체관람가,일반영화
나이팅게일,제니퍼 켄트,,(주)제이앤씨미디어그룹,2020-12,기타,329.0,112682610.0,13702.0,스릴러,청소년관람불가,독립/예술영화
해길랍,채밀결,비디오랜드 무비,오드,2021-03,기타,223.0,120957390.0,13690.0,멜로/로맨스,15세이상관람가,독립/예술영화
극장판 타오르지마 버스터-블랙어썰트의 귀환,조영광,(주)시너지미디어,(주)이수C&E,2019-12,한국,259.0,95196920.0,13685.0,코미디,전체관람가,독립/예술영화
심야카페: 미씽 허니,정윤수,(주)케이드래곤,(주)영화특별시에스엠씨,2022-11,한국,174.0,98978194.0,13682.0,멜로/로맨스,12세이상관람가,일반영화
헤이지니&럭키강이 비밀의 문,안진성,(주)영화사 그램,(주)영화사 그램(주)플레이그램,2022-12,한국,282.0,126092766.0,13642.0,공연,전체관람가,일반영화
오직 사랑뿐,엠마 아산테,,(주)팝엔터테인먼트,2018-02,영국,105.0,106539718.0,13580.0,드라마,12세이상관람가,독립/예술영화
버티고,전계수,영화사 도로시(주),(주)트리플픽쳐스,2019-10,한국,298.0,115864340.0,13567.0,드라마,15세이상관람가,독립/예술영화
해피 홀리데이,앤디 해밀턴가이 젠킨,BBC 필름스,(주)스톰픽쳐스코리아,2015-05,영국,102.0,102633800.0,13529.0,코미디,12세이상관람가,독립/예술영화
피치 퍼펙트,제이슨 무어,골든 서클 필름스,유니버설픽쳐스인터내셔널 코리아(유),2013-03,미국,143.0,90720000.0,13520.0,코미디,15세이상관람가,일반영화
오마주,신수원,(주)준필름,트윈플러스파트너스(주),2022-05,한국,133.0,102534500.0,13519.0,드라마,12세이상관람가,독립/예술영화
