NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
90,비커밍 아스트리드,퍼닐 피셔 크리스텐센,,알토미디어(주),알토미디어(주),20210512,개봉영화,장편,기타,70,,241,,98,드라마,15세이상관람가,독립/예술영화
91,정말 먼 곳,박근영,봄내필름,,그린나래미디어(주),20210318,개봉영화,장편,한국,204,,207,,207,드라마,12세이상관람가,독립/예술영화
92,소울,피트 닥터,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20210120,개봉영화,장편,미국,,,204,,67,애니메이션,전체관람가,일반영화
93,쇼크 웨이브 2,구예도,,(주)누리픽쳐스,(주)누리픽쳐스,20210520,개봉영화,장편,중국,61,,191,,151,액션,15세이상관람가,일반영화
94,꼬마 마법사 레미 : 견습 마법사를 찾아서,"사토 준이치,카마타니 하루카",,(주)얼리버드픽쳐스,(주)얼리버드픽쳐스,20210519,개봉영화,장편,일본,65,,182,,122,애니메이션,12세이상관람가,일반영화
95,스쿨 오브 락(樂),강호준,(주)콘텐츠나무,,(주)드림팩트엔터테인먼트,20210513,개봉영화,장편,한국,7,,177,,169,다큐멘터리,전체관람가,독립/예술영화
96,비와 당신의 이야기,조진모,(주)아지트필름,,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티",20210428,개봉영화,장편,한국,957,,173,,54,드라마,전체관람가,일반영화
97,좀비크러쉬: 헤이리,장현상,GATE6,,필름다빈,20210630,개봉영화,장편,한국,23,,171,,135,코미디,15세이상관람가,독립/예술영화
98,소리에 놀라지 않는 사자처럼,윤성준,스튜디오 에이에이,,(주)드림팩트엔터테인먼트,20210519,개봉영화,장편,한국,8,,167,,163,다큐멘터리,전체관람가,일반영화
99,아르코 라이브 뮤지컬 인사이드 윌리엄,,한국문화예술위원회,,(주)아이디어랩,20210526,개봉영화,장편,한국,14,,127,,101,공연,전체관람가,일반영화
